feature,mean_norm_importance,std_norm_importance,n_symbols,group
obv_ratio,0.03344304770797287,0.008163571054476576,35,Technical
usdinr_ret_1d,0.031633186074962266,0.003438259094222704,12,Global Macro
kurt_20,0.03137204064388808,0.005554543351971812,55,Statistical
kurt_50,0.031217451609546008,0.004840157938405846,57,Statistical
vol_lag_1,0.030499423363848685,0.004903864544318027,9,Volume
roc_3,0.030434730207987475,,1,Other
crude_ret_20d,0.03018795450905195,0.004151277533746666,75,Global Macro
crude_ret_5d,0.03005949480477742,0.004223805071838349,69,Global Macro
ret_lag_3,0.0292185654952297,0.0045848231774170516,2,Price / Return
skew_50,0.029157494498449614,0.00552935527500103,60,Statistical
nikkei_ret_prev,0.028820577611260043,0.0035967291400460896,104,Global Macro
kurt_10,0.0286558704622408,0.005317997434750682,32,Statistical
crude_ret_prev,0.028534231781304764,0.00486412543499667,104,Global Macro
ret_lag_5,0.027892035111542198,,1,Price / Return
ret_lag_1,0.02751652425226438,0.004303948380268412,2,Price / Return
sp500_ret_prev,0.027005369038065434,0.004924579460424508,104,Global Macro
vol_lag_2,0.026667749367933702,0.00597057835774015,5,Volume
ret_1d,0.02657555764654813,0.006812365074316558,2,Price / Return
dxy_ret_prev,0.026529390597967804,0.004267547083487659,104,Global Macro
usdinr_ret_5d,0.026433140807606236,0.00397971133780299,12,Global Macro
vol_lag_3,0.02637702791960856,0.005223420820157437,4,Volume
earnings_proximity,0.026310829903868013,0.004830627465067728,103,Other
vol_lag_5,0.02612680059536251,0.00469489545765634,7,Volume
vol_lag_10,0.02610550590184938,0.005180330669538615,4,Volume
us_vix_ret_1d,0.025983976193144336,0.002997732394514571,24,Global Macro
alpha_vs_usdinr_1d,0.02589707329586012,0.0037813006035724663,12,Global Macro
skew_20,0.02585392095337058,0.004043830582313029,49,Statistical
days_to_budget,0.025610011383248962,0.004382950650449103,65,Indian Calendar
bb_width_20,0.025433654126872988,0.004020268613392091,46,Technical
niftybank_ret_20d,0.025428071828102066,0.0036259424660913604,72,Price / Return
ret_lag_2,0.025301474674244973,0.004254158643267422,3,Price / Return
niftybank_ret_5d,0.025299402014645513,0.0028872185567898317,70,Price / Return
vol_ratio_50,0.025228267822431892,0.00863865401697618,8,Volume
sp500_ret_20d,0.025201400821264985,0.0029717297117869096,52,Global Macro
ret_5d,0.02505713619086381,0.002681320609252009,5,Price / Return
bb_width_10,0.025032087291052038,0.004673011942275747,34,Technical
niftybank_ret_prev,0.02495360219217976,0.002641349583618882,50,Price / Return
nifty50_ret_prev,0.02480318075626132,0.004496723967928609,103,Price / Return
roc_10,0.02460856477910995,0.007424005712171977,2,Other
trend_20,0.024569711558420818,,1,Regime
bb_width_50,0.02450257636809005,0.004041338507270688,54,Technical
skew_10,0.024493716112961552,0.00518176890548226,28,Statistical
vol_lag_20,0.024274562151629705,0.0033452385945136557,15,Volume
vol_ratio_20,0.023931954759749605,0.015878757744270913,2,Volume
sector_vol_10d,0.02393110104151932,0.00452348825227528,28,Volume
hl_range,0.02385100044123936,0.008419399997166352,5,Other
macd_hist_pct_5_35,0.02383406723717245,0.0035713159379404088,16,Technical
sector_avg_ret,0.023790657448060127,0.0041248061751997436,12,Other
garch_vol,0.023531133188470874,0.007297846241598624,33,Other
hist_vol_5,0.023450626573302786,0.0041112447258548545,26,Volume
macd_hist_pct_12_26,0.02321807763791345,0.003985759315503486,25,Technical
hist_vol_50,0.023160395330767535,0.0039969148692537825,45,Volume
dxy_ret_5d,0.022963418280406208,0.0031670635520088643,104,Global Macro
adx_14,0.02291302749499641,0.00413900913111203,51,Technical
sector_corr_30d,0.02277683668246949,0.004844372226894015,62,Other
cross_ratio,0.022724993519414045,0.005390102630132821,67,Other
sector_corr_60d,0.022538977694752264,0.004816482923155428,60,Other
sp500_ret_5d,0.022437567463768016,0.0027198123848097768,104,Global Macro
nikkei_ret_5d,0.02236501229796762,0.0026554536892155305,49,Global Macro
usdinr_ret_20d,0.022342733211736594,0.0024846460335498036,12,Global Macro
adx_21,0.02229992074443937,0.0038980332032195943,60,Technical
nasdaq_ret_prev,0.022111632740162573,0.002785021663642743,26,Global Macro
sector_mom_20d,0.02207201273223877,0.003369102073284245,39,Other
market_regime,0.022025757928913123,0.007343783257353612,3,Regime
us_vix_level,0.02189027014329497,0.0038205653551719038,104,Global Macro
nifty50_ret_20d,0.021867805453303798,0.002716235929038065,61,Price / Return
garch_surprise,0.021816308162164785,0.004369402831895215,29,Other
alpha_vs_niftybank_1d,0.021706768006961592,0.006310447890795545,34,Other
rel_strength_1d,0.02168657183629411,0.003893122289388469,9,Other
sector_mom_5d,0.021527796606217595,0.004217994945697372,15,Other
us_vix_regime,0.021433428636893632,0.00209996863542902,31,Global Macro
nifty50_ret_5d,0.021350710787414556,0.002414125080462212,103,Price / Return
dist_hi_252,0.021229397242579502,0.006863599573280043,34,Other
ret_2d,0.021003515046361727,0.0035162727076328104,2,Price / Return
dxy_ret_20d,0.020962359688582757,0.0030557927438691697,90,Global Macro
trend_strength,0.020943753082034246,0.0022644304972826387,12,Regime
dist_hi_52,0.020878019294926334,0.003188403709585373,17,Other
vol_ratio_10,0.020625870245206845,0.005347658120907837,11,Volume
nasdaq_ret_5d,0.020481943936053956,0.002158620659827263,43,Global Macro
roc_20,0.020265615831281718,,1,Other
alpha_vs_usdinr_5d,0.02021788204953551,0.002898661904220315,12,Global Macro
ret_10d,0.02015475007467206,0.004426388913754548,9,Price / Return
hist_vol_10,0.019987577941978647,0.003448093417892036,31,Volume
ret_lag_20,0.019979842464935796,0.002830086955518043,3,Price / Return
ret_lag_10,0.019941829723427965,0.003773157663625483,2,Price / Return
macd_signal_pct_12_26,0.019936997239408196,0.003984551194851447,28,Technical
dist_lo_252,0.019689660287339178,0.004622795286746145,63,Other
parkinson_20,0.01957183623535863,0.00498997474083031,19,Other
trend_cons,0.019492259644992703,0.005782430301214939,8,Regime
vol_change_5d,0.019464833336081882,0.003805787204469408,7,Volume
gk_vol_20,0.01926074255863953,0.0036754245458082936,38,Volume
price_sma_5,0.01920980004865162,0.0025744812043189676,8,Technical
price_ema_5,0.01913044890942656,0.000510169277812832,3,Technical
usdinr_ma20_ratio,0.019016956592241844,0.002546813365939793,12,Global Macro
vol_change,0.01898901435834313,,1,Volume
price_ema_20,0.01894750538655653,0.004806540055370066,7,Technical
price_ema_10,0.018848572710651865,0.0014502789580804,3,Technical
price_sma_10,0.01884229772682369,0.0025514613407186144,7,Technical
dist_hi_126,0.018491742148804866,0.004690544570994763,14,Other
dist_hi_20,0.018461708562299707,0.003928001621477858,13,Other
days_to_expiry,0.018418087019984847,0.0055499280307573385,77,Indian Calendar
atr_ratio_7,0.018318485872351357,0.0030089598090271143,22,Technical
hist_vol_20,0.018129029588361354,0.0030692602602676727,40,Volume
parkinson_10,0.017989319057840635,0.003217727294625642,22,Other
price_ema_100,0.0176683872653921,0.004845616908123025,7,Technical
plus_di_21,0.017587725754189133,0.0031016907695329476,23,Other
gk_vol_10,0.017579119091987883,0.0029518852078810813,25,Volume
plus_di_14,0.01754823798851911,0.0026439357060606865,17,Other
macd_pct_5_35,0.017461993354954825,0.004413708474262192,9,Technical
roc_50,0.01741455304024668,0.003041440997784043,22,Other
us_vix_zscore,0.017379776129279052,0.0027545135806689883,104,Global Macro
atr_ratio_21,0.01736432184932301,0.0036344018640280754,26,Technical
price_sma_200,0.0173496177659122,0.0035279299746256753,20,Technical
di_diff_21,0.017245951545027723,0.0028901378394623886,3,Other
di_diff_14,0.017173460182619137,0.0024300902794662784,15,Other
dist_lo_126,0.01704939839060021,0.0033235906776638013,48,Other
minus_di_21,0.01704828252069466,0.0025793190130072225,21,Other
ret_20d,0.017017019149465643,0.0030342282193238732,11,Price / Return
price_ema_200,0.016968286201577504,0.0029704844250899496,20,Technical
upper_shadow,0.01691352065098027,,1,Other
rsi_21,0.01688430015529002,0.003492125492271523,11,Technical
macd_signal_pct_5_35,0.01676468837923957,0.002455975376600142,7,Technical
atr_ratio_14,0.016680798680171992,0.002811239650067368,27,Technical
dist_lo_20,0.016406761035631896,0.004021153852079748,11,Other
macd_pct_12_26,0.016357333603407367,0.0020112205843136164,9,Technical
minus_di_14,0.016244569315575594,0.004106741994518902,18,Other
rsi_7,0.01620509377648082,0.002293630433099083,4,Technical
usdinr_rsi_14,0.016042139408209467,0.0013990937146986845,12,Global Macro
dist_lo_52,0.01597644179434069,0.002986474466400238,38,Other
mon_sin,0.015960189807655744,0.0037878414570331484,20,Other
price_ema_50,0.01595736362128296,0.002905669105697413,11,Technical
cci_14,0.01585779161274145,0.0037498343838833904,10,Technical
mon_cos,0.015820415974330832,0.004088927421920451,15,Other
cci_20,0.015541840779008675,0.0034395996043389233,5,Technical
pos_hi_252,0.015399665070735417,0.003149858610554439,22,Other
price_sma_100,0.015387640839398788,0.004548016435675993,18,Technical
price_sma_20,0.01538080906265141,0.0035268717734941646,7,Technical
willr_21,0.01519639695422983,,1,Other
pos_hi_20,0.015185760081103944,0.005105994718345255,6,Other
rsi_28,0.015167770099907102,0.0024216425814082817,20,Technical
bb_pos_20,0.014983006965971333,0.002342112895295779,8,Technical
price_sma_50,0.014742000333746346,0.0024500781796403218,3,Technical
stoch_d_21,0.014673837569699037,0.00411838481072554,10,Technical
rsi_14,0.01462747436114716,0.0022283566274180788,15,Technical
bb_pos_50,0.014559620775969421,0.0037483622820751565,11,Technical
