model,avg_accuracy,median_accuracy,max_accuracy,min_accuracy,std_accuracy,n_stocks
CNN_GRU,0.5411184210526315,0.5405701754385965,0.5701754385964912,0.5131578947368421,0.02371228301653302,4
GRU,0.5389254385964912,0.5350877192982456,0.5679824561403509,0.5175438596491228,0.021737091668419996,4
TCN_TRANSFORMER,0.5301535087719298,0.5241228070175439,0.5526315789473685,0.5197368421052632,0.015127340706560617,4
TCN_GRU,0.5246710526315789,0.5274122807017544,0.5701754385964912,0.47368421052631576,0.040013166949031474,4
BILSTM,0.5158991228070176,0.513157894736842,0.5394736842105263,0.4978070175438596,0.02036642063706878,4
LGBM,0.5153508771929824,0.5153508771929824,0.5153508771929824,0.5153508771929824,0.0,4
XGB,0.5131578947368421,0.5131578947368421,0.5131578947368421,0.5131578947368421,0.0,4
NBEATS,0.5087719298245614,0.5131578947368421,0.5328947368421052,0.4758771929824561,0.02388908572860846,4
LSTM,0.5027412280701754,0.5021929824561403,0.5307017543859649,0.4758771929824562,0.024834981694969557,4
CNN_LSTM,0.49725877192982454,0.5010964912280702,0.5241228070175439,0.46271929824561403,0.027295071054457026,4
