model,avg_accuracy,median_accuracy,max_accuracy,min_accuracy,std_accuracy,n_datapoints
XGBoost,0.5244444444444445,0.52,0.6,0.44,0.053775941199125946,6
LightGBM,0.5233333333333333,0.5233333333333333,0.6,0.44,0.050902957783522856,6
LSTM,0.5211111111111111,0.52,0.58,0.4533333333333333,0.05256389410006608,6
CNN_GRU,0.52,0.52,0.5533333333333333,0.49333333333333335,0.021908902300206645,6
TCN_Transformer,0.5177777777777778,0.52,0.5333333333333333,0.4866666666666667,0.016147468555186607,6
CNN_LSTM,0.5144444444444445,0.5033333333333334,0.58,0.4666666666666667,0.049784721737883765,6
GRU,0.5077777777777778,0.5266666666666666,0.5333333333333333,0.4533333333333333,0.03538151850686813,6
BiLSTM,0.5011111111111112,0.5066666666666667,0.54,0.44666666666666666,0.034619626204199824,6
NBEATS,0.4977777777777779,0.5066666666666667,0.5466666666666666,0.4066666666666667,0.04911060834332894,6
TCN_GRU,0.49333333333333335,0.49,0.54,0.4533333333333333,0.04022160834399563,6
