symbol,accuracy,accuracy_std,win_rate,win_rate_std,precision_bullish,precision_bullish_std,recall_bullish,recall_bullish_std,profit_factor,profit_factor_std,sample_count,sample_count_std,n_windows
IRFC,55.73770491803278,5.943127653606331,68.09523809523809,20.995626366712955,50.30578898225957,13.743248910848235,29.141156462585034,6.427283516515354,1.2610453743006969,1.2258823557019085,61.0,0.0,7
ADANIPORTS,54.35139573070607,4.331988820450877,53.00453514739229,37.96264786409919,57.698029067999514,8.981899779633292,48.5333760361987,26.197604860303304,inf,,87.0,0.0,7
AUBANK,54.187192118226605,5.4756426931143105,11.255411255411255,18.08881594439496,57.76126949582327,7.030200716341793,49.306203510486334,18.780604811388134,2.0269681443962217,1.186698864007952,87.0,0.0,7
KOTAKBANK,54.1871921182266,4.048876192426256,65.64625850340136,31.83226464345528,54.956548397957214,6.285138155729302,38.026732574229364,13.587665158059988,3.0747039437936374,2.1223627099283786,87.0,0.0,7
ICICIGI,53.69458128078817,6.43544103194267,71.42857142857143,37.49527559053244,55.70217314811982,9.571809028830753,41.7902359065773,15.932891743673851,4.085264070080757,6.9864419461966625,87.0,0.0,7
NAUKRI,53.67965367965369,4.231710908691249,25.824175824175825,35.4129297677407,52.26576118480977,4.282452472553603,43.73325176924739,19.31361687951913,0.9026400460041988,0.5334507909061439,99.0,0.0,7
GODREJPROP,53.53535353535353,4.216923288947316,35.16483516483517,43.87354896192776,56.83724650072272,7.573177941624409,52.6388739293052,14.280688486056373,inf,,99.0,0.0,7
SUNPHARMA,53.5303776683087,5.421206574456214,50.467980295566505,23.033948897554183,55.64267490880934,6.823734466412263,73.37574122507324,12.517048963613439,1.5700704171155153,0.6358305307157601,87.0,0.0,7
NMDC,53.5303776683087,3.3004517639149085,42.704081632653065,33.47242084315396,56.81863974262118,3.5477405438119622,45.26951351934327,15.899133071535775,2.667181862975258,3.2410220700916517,87.0,0.0,7
NTPC,53.366174055829234,3.574965690817277,49.022310678657426,20.987474032341936,54.09862228789628,4.615543881985076,65.98515693665686,23.920762301996604,1.179655537223981,0.6130223542983432,87.0,0.0,7
MARICO,53.366174055829234,4.466821185134791,28.37301587301587,24.10040568214236,57.10150726957449,11.411203366954876,39.50954905061862,16.399495670547132,inf,,87.0,0.0,7
POWERGRID,53.03776683087028,4.4060452758616515,52.37458619811561,21.826989639659296,52.8068676350774,5.903883069544308,81.25082520704396,12.03161614029017,1.0876174041976847,0.42424180592890154,87.0,0.0,7
IDFCFIRSTB,52.99003322259137,2.4750273132477303,31.547619047619044,36.99106651973654,47.91652791652791,8.373301595111041,36.21537059098632,29.43656957128804,inf,,86.0,0.0,7
SBILIFE,52.87356321839081,2.747651975481364,53.218210361067506,27.679640912416048,62.8860346814311,18.007123877073475,33.23485021804838,19.65280308553665,inf,,87.0,0.0,7
SAIL,52.87356321839081,4.759072823050716,40.47619047619048,47.020042043170236,63.911872020978755,9.885861659035216,31.037404100408374,8.886672204622737,inf,,87.0,0.0,7
MPHASIS,52.8735632183908,4.837740513187598,30.853174603174605,33.53908297678483,51.61338694595461,9.454056004689727,37.37310101337223,23.328460078334494,3.1642667161104936,5.001163670343865,87.0,0.0,7
BAJFINANCE,52.70935960591134,4.815395171959008,82.93650793650794,20.91537135413403,58.03326218072762,11.212858368820942,41.093764596969045,21.630628862859762,inf,,87.0,0.0,7
HCLTECH,52.545155993431855,4.826580773957003,20.16806722689076,35.5532702542961,54.44615280749735,4.473152841523991,48.37167552201651,24.87240263225642,3.516277897637982,3.996724585360902,87.0,0.0,7
POLYCAB,52.32358003442341,5.146270701454753,33.333333333333336,40.824829046386306,58.24146091330181,8.857736896762741,45.616728513885256,25.34354016039452,inf,,83.0,0.0,7
PIDILITIND,52.23665223665224,5.882775500906065,9.523809523809522,23.32847374079217,52.900731080108095,5.41181360516228,36.21276460894917,12.71896211688918,1.3556600493224396,1.3149493844852973,99.0,0.0,7
SHREECEM,52.216748768472904,4.114930734365078,11.904761904761903,19.342948582466573,56.16862081940342,18.54273138536316,54.938058709456975,24.575751402488805,1.1100076320074146,0.6167531336774722,87.0,0.0,7
NESTLEIND,52.216748768472904,3.72998906128097,66.53061224489797,36.03413625198897,55.497448979591844,5.842322534732453,42.84163827879802,15.12784717202428,1.4476256526930622,0.49657157961774945,87.0,0.0,7
CHOLAFIN,52.216748768472904,3.3571507882201743,38.09523809523809,45.17539514526256,56.097160645313146,19.483606858685597,30.51159603791183,16.998569522514593,inf,,87.0,0.0,7
HEROMOTOCO,52.05254515599343,4.826580773957002,52.34811165845649,33.56602194596161,56.08614714226034,9.254417188633482,54.11089974248241,24.849135198198713,2.0719683163965037,1.7300899273554073,87.0,0.0,7
BHARTIARTL,52.05254515599343,2.9919322098996046,65.30612244897958,35.790330443444645,57.12853982961575,7.860660875423193,59.98502207296364,29.718702588240383,2.934959779497894,2.1445661437815673,87.0,0.0,7
LTIM,51.993355481727576,6.360195919959019,9.243697478991596,22.64234216018064,51.100738860137355,7.065739691723849,61.741072633242084,20.15869791054123,inf,,86.0,0.0,7
ADANIENT,51.94805194805195,4.576840267576827,70.77922077922076,26.869485079970087,46.98979242162985,4.265302544444295,44.40761606162651,24.178406634540956,6.160559368090526,10.658254287329218,99.0,0.0,7
HINDUNILVR,51.88834154351395,8.954744305048264,28.840445269016698,21.54506560733725,50.204562985268254,8.75504508903458,55.92379042545156,23.13160955562108,1.166847683769052,0.821740784113204,87.0,0.0,7
GODREJCP,51.88834154351395,5.510003854043521,49.220779220779214,38.01580660324148,46.61748981435393,5.282974033635699,38.33283988359176,16.225104877958614,0.8745749102222042,0.8525488527068834,87.0,0.0,7
JSWSTEEL,51.82724252491693,3.616535059315158,25.714285714285715,24.989793835051287,53.35505449834718,4.474667515569413,32.539597609912555,18.116511727488096,2.025042797654864,1.85269247963274,86.0,0.0,7
CUMMINSIND,51.724137931034484,8.446516354424755,60.10598596805494,29.809726500465068,51.96366115229767,9.940323693472312,66.4191811326363,23.972447176802092,2.077796790478181,1.4233636334243465,87.0,0.0,7
MUTHOOTFIN,51.724137931034484,3.9817259944112107,33.56374807987711,34.619000964213264,58.8495695761142,10.603509472904687,44.57782597242637,18.781787821769214,2.692554175563711,3.3173565439863824,87.0,0.0,7
GAIL,51.659451659451655,3.7183546108874816,55.21008403361345,38.93341791179489,54.59599918104694,8.936235294688341,60.70961998864185,19.78002731252076,1.224759506641431,0.6792886844562287,99.0,0.0,7
TORNTPHARM,51.55993431855501,4.736356355289314,39.241562009419155,37.897521947236626,47.67171502803931,20.191661154718613,50.137027350986166,28.7822512036455,inf,,87.0,0.0,7
DLF,51.515151515151516,6.5684309822459115,41.909691412796995,20.68770099265322,51.86879831079692,10.360345923123042,70.23154452821971,21.142676158132524,1.1119835612401372,0.4437492647938242,99.0,0.0,7
ITC,51.231527093596064,2.446578723440285,24.20634920634921,22.3564540015925,50.61045282494518,10.621027469564401,53.00522576838366,33.70307514958414,1.105622771758924,0.7272686232168557,87.0,0.0,7
TATAELXSI,51.231527093596064,6.86520359946367,42.63038548752835,41.75045950004982,45.122020288383496,8.553449701312923,50.265072765072766,23.919551070584752,1.1277076621964972,1.171187653682945,87.0,0.0,7
SIEMENS,51.22655122655123,5.498573992282152,42.796366195380976,32.05918987084326,53.394516193517354,4.52139085016262,66.46013613325962,26.911878127921966,1.2220814135757794,0.6180660268145267,99.0,0.0,7
PAGEIND,51.22655122655122,3.56978842044819,14.285714285714286,34.99271061118826,49.06021722348253,6.707899318053954,41.91456303151507,9.319509077086492,1.006571257681804,1.505845951330264,99.0,0.0,7
TATAPOWER,51.08225108225109,5.684766407963121,42.07875457875458,32.72493267504234,55.41355314730826,12.407328147072562,40.71769592928407,22.466430574930175,inf,,99.0,0.0,7
