symbol,oos_accuracy,tradeable,n_trades,total_return,ann_return,win_rate,avg_win_pct,avg_loss_pct,profit_factor,sharpe,max_drawdown,calmar,binary_dir_acc,up_signal_acc,date_range
VOLTAS,0.5193,True,70,0.2342,1.1332,0.6286,1.887,-2.283,1.399,1.821,0.0931,2.517,0.5342,0.6286,2024-02-09 → 2026-04-10
TECHM,0.5163,True,106,0.2218,0.6101,0.5849,1.607,-1.755,1.29,1.403,0.1368,1.622,0.506,0.5943,2024-03-20 → 2026-04-09
VEDL,0.5445,True,164,0.1958,0.3163,0.5793,2.053,-2.463,1.148,0.686,0.2042,0.959,0.558,0.5854,2024-05-03 → 2026-04-10
FEDERALBNK,0.5146,True,120,0.1147,0.2562,0.5417,1.584,-1.621,1.155,0.638,0.1994,0.575,0.5417,0.55,2024-02-02 → 2026-04-10
ADANIENT,0.5189,True,149,0.1452,0.2578,0.5034,2.037,-1.82,1.134,0.618,0.2082,0.698,0.4718,0.5101,2023-12-22 → 2026-04-10
BAJAJFINSV,0.5092,True,54,0.032,0.1582,0.5185,1.54,-1.499,1.106,0.428,0.1287,0.248,0.5107,0.5556,2024-04-19 → 2026-04-10
MARUTI,0.472,False,101,0.0477,0.1233,0.5149,1.542,-1.495,1.094,0.324,0.192,0.248,0.5,0.5149,2024-04-29 → 2026-04-10
ICICIGI,0.5195,True,89,0.0396,0.1162,0.5618,1.148,-1.345,1.094,0.313,0.13,0.305,0.4938,0.5618,2024-05-15 → 2026-04-09
WIPRO,0.5238,True,107,0.0234,0.0561,0.5514,1.355,-1.582,1.052,0.109,0.1568,0.15,0.4984,0.5701,2024-05-06 → 2026-04-10
TVSMOTOR,0.5273,True,241,0.008,0.0083,0.5394,1.603,-1.821,1.031,0.009,0.31,0.026,0.5369,0.5436,2024-04-19 → 2026-04-10
BEL,0.5038,True,167,-0.0513,-0.0764,0.485,2.237,-2.071,1.017,-0.034,0.3935,-0.13,0.4958,0.491,2024-05-06 → 2026-04-09
PERSISTENT,0.4931,False,144,-0.047,-0.0808,0.5278,2.1,-2.328,1.008,-0.086,0.3772,-0.125,0.4972,0.5278,2024-05-17 → 2026-04-10
MUTHOOTFIN,0.5298,True,103,-0.0238,-0.0572,0.5437,1.637,-1.94,1.006,-0.133,0.2042,-0.117,0.5664,0.5437,2024-04-23 → 2026-04-09
TATAELXSI,0.5104,True,34,-0.0356,-0.2357,0.4412,2.341,-1.936,0.955,-0.335,0.1806,-0.197,0.4503,0.4412,2024-04-16 → 2026-04-10
TATASTEEL,0.5111,True,143,-0.0708,-0.1213,0.5315,1.613,-1.89,0.968,-0.395,0.3609,-0.196,0.533,0.5315,2023-12-08 → 2026-04-09
CHOLAFIN,0.5105,True,136,-0.123,-0.2158,0.4412,2.197,-1.85,0.938,-0.552,0.2593,-0.474,0.4696,0.4632,2024-04-25 → 2026-04-10
POLYCAB,0.5008,True,159,-0.1278,-0.1949,0.5472,1.673,-2.152,0.94,-0.573,0.2757,-0.464,0.5245,0.5472,2024-06-19 → 2026-04-10
AMBUJACEM,0.5088,True,155,-0.1655,-0.2548,0.5419,1.512,-1.974,0.907,-0.697,0.29,-0.571,0.4883,0.5484,2024-04-30 → 2026-04-10
BOSCHLTD,0.5308,True,235,-0.181,-0.1928,0.5447,1.37,-1.782,0.92,-0.712,0.4647,-0.39,0.5457,0.566,2024-01-05 → 2026-04-10
ADANIPORTS,0.5324,True,102,-0.1622,-0.3542,0.5392,1.791,-2.357,0.889,-0.733,0.2221,-0.73,0.4866,0.549,2024-05-09 → 2026-04-10
INDUSINDBK,0.4875,False,64,-0.0495,-0.1811,0.5469,1.363,-1.782,0.923,-0.742,0.1476,-0.335,0.4943,0.5469,2024-03-14 → 2026-04-10
MARICO,0.4853,False,42,-0.0396,-0.2152,0.5476,1.34,-1.789,0.907,-0.791,0.1434,-0.276,0.5079,0.5714,2024-05-03 → 2026-04-10
LTIM,0.5194,True,87,-0.1075,-0.2807,0.5172,1.564,-1.883,0.89,-0.803,0.2237,-0.481,0.5223,0.5287,2024-03-05 → 2026-04-10
NMDC,0.5162,True,97,-0.1268,-0.2969,0.5361,1.81,-2.321,0.901,-0.813,0.2051,-0.618,0.5042,0.5361,2024-05-09 → 2026-04-10
GRASIM,0.5328,True,154,-0.1216,-0.1912,0.5325,1.227,-1.546,0.904,-0.873,0.284,-0.428,0.5105,0.5519,2024-04-04 → 2026-04-10
PAGEIND,0.5077,True,93,-0.082,-0.207,0.5591,1.193,-1.684,0.898,-0.877,0.1503,-0.546,0.5051,0.5591,2023-12-06 → 2026-04-10
HINDUNILVR,0.5622,True,108,-0.0881,-0.1937,0.5278,1.144,-1.431,0.893,-0.945,0.1871,-0.471,0.4752,0.5278,2024-05-08 → 2026-04-10
OFSS,0.4683,False,92,-0.1564,-0.3725,0.5109,1.969,-2.361,0.871,-1.035,0.3662,-0.427,0.4679,0.5109,2024-06-25 → 2026-04-10
JSWSTEEL,0.504,True,107,-0.1519,-0.3215,0.514,1.526,-1.876,0.86,-1.067,0.2115,-0.718,0.5205,0.5327,2024-04-04 → 2026-04-10
SBILIFE,0.5156,True,106,-0.1068,-0.2356,0.4811,1.384,-1.46,0.879,-1.072,0.2086,-0.512,0.5079,0.4811,2024-04-10 → 2026-04-10
IRFC,0.552,True,53,-0.0984,-0.3891,0.5472,1.738,-2.452,0.857,-1.096,0.2637,-0.373,0.4409,0.5472,2024-12-19 → 2026-04-10
LT,0.5383,True,170,-0.1815,-0.2568,0.5353,1.207,-1.608,0.865,-1.097,0.2992,-0.606,0.5321,0.5412,2024-03-20 → 2026-04-09
SAIL,0.5113,True,144,-0.3141,-0.483,0.4861,2.24,-2.518,0.841,-1.109,0.4551,-0.69,0.4959,0.5,2024-04-10 → 2026-04-10
KOTAKBANK,0.5503,True,113,-0.1314,-0.2696,0.5133,1.374,-1.67,0.868,-1.13,0.1683,-0.781,0.4844,0.5133,2024-03-04 → 2026-04-10
SHREECEM,0.4698,False,97,-0.1052,-0.2508,0.5258,1.193,-1.536,0.861,-1.225,0.2493,-0.422,0.4831,0.5258,2024-03-15 → 2026-04-09
AUROPHARMA,0.4961,False,88,-0.1561,-0.3849,0.4545,2.005,-1.972,0.847,-1.265,0.3527,-0.443,0.4971,0.4545,2024-05-10 → 2026-04-10
DMART,0.4741,False,67,-0.0918,-0.3037,0.5075,1.365,-1.662,0.846,-1.283,0.2014,-0.456,0.4842,0.5075,2023-12-14 → 2026-04-10
LUPIN,0.5133,True,167,-0.2248,-0.319,0.5449,1.329,-1.884,0.844,-1.298,0.2865,-0.784,0.5335,0.5509,2024-04-03 → 2026-04-10
BANDHANBNK,0.4844,False,46,-0.1288,-0.5302,0.4348,2.305,-2.211,0.802,-1.328,0.2172,-0.593,0.4672,0.4348,2024-05-08 → 2026-04-10
SIEMENS,0.5265,True,147,-0.2773,-0.4269,0.517,1.732,-2.248,0.825,-1.385,0.5233,-0.53,0.5526,0.5374,2024-02-15 → 2026-04-10
ABB,0.5055,True,225,-0.44,-0.4777,0.5244,1.66,-2.294,0.798,-1.442,0.6396,-0.688,0.5367,0.5244,2024-02-07 → 2026-04-10
MOTHERSON,0.4848,False,103,-0.2123,-0.4423,0.5146,1.644,-2.162,0.806,-1.536,0.372,-0.571,0.514,0.5243,2024-05-14 → 2026-04-10
ALKEM,0.5269,True,129,-0.2196,-0.3839,0.5349,1.242,-1.801,0.793,-1.637,0.3596,-0.611,0.5093,0.5504,2024-04-05 → 2026-04-10
BRITANNIA,0.5148,True,170,-0.2416,-0.3364,0.5412,1.045,-1.558,0.791,-1.708,0.3288,-0.735,0.5507,0.5647,2024-05-23 → 2026-04-10
INDUSTOWER,0.5032,True,42,-0.1051,-0.4865,0.5238,1.63,-2.288,0.783,-1.744,0.1399,-0.752,0.5318,0.5238,2024-04-15 → 2026-04-08
TORNTPHARM,0.5043,True,176,-0.28,-0.3752,0.5057,1.311,-1.687,0.795,-1.76,0.3091,-0.906,0.5312,0.5057,2024-04-02 → 2026-04-10
GODREJCP,0.4615,False,85,-0.202,-0.4878,0.4353,1.813,-1.819,0.768,-1.794,0.2919,-0.692,0.4745,0.4471,2024-04-26 → 2026-04-10
POWERGRID,0.4933,False,184,-0.3002,-0.3867,0.5109,1.297,-1.718,0.788,-1.812,0.3907,-0.769,0.5153,0.5163,2024-03-21 → 2026-04-10
TITAN,0.523,True,78,-0.1575,-0.4251,0.5,1.342,-1.742,0.77,-1.826,0.2532,-0.622,0.5041,0.5,2024-01-03 → 2026-04-10
DIVISLAB,0.4933,False,105,-0.2161,-0.4425,0.5048,1.349,-1.802,0.763,-1.884,0.2607,-0.829,0.5041,0.5143,2023-11-17 → 2026-04-10
NESTLEIND,0.48,False,126,-0.2035,-0.3657,0.4683,1.221,-1.391,0.773,-1.933,0.2385,-0.853,0.4867,0.4762,2024-05-07 → 2026-04-10
CIPLA,0.4826,False,158,-0.2727,-0.3982,0.4937,1.185,-1.524,0.758,-1.958,0.2821,-0.967,0.4936,0.519,2024-03-21 → 2026-04-10
M&M,0.5238,True,210,-0.4682,-0.5313,0.5048,1.558,-2.143,0.741,-2.115,0.5431,-0.862,0.5361,0.5095,2024-05-10 → 2026-04-10
MANAPPURAM,0.513,True,93,-0.2682,-0.5709,0.4409,1.959,-2.09,0.739,-2.122,0.3761,-0.713,0.5042,0.4624,2024-04-05 → 2026-04-09
SUNPHARMA,0.4913,False,96,-0.157,-0.3613,0.5104,0.977,-1.361,0.748,-2.174,0.1738,-0.903,0.5206,0.5208,2024-03-13 → 2026-04-09
COLPAL,0.4983,False,163,-0.3227,-0.4525,0.5153,1.155,-1.69,0.727,-2.304,0.4785,-0.674,0.4872,0.5215,2024-05-23 → 2026-04-10
GAIL,0.4774,False,199,-0.5534,-0.6397,0.4824,1.668,-2.267,0.686,-2.378,0.6162,-0.898,0.5038,0.4824,2024-01-11 → 2026-04-09
ONGC,0.5016,True,90,-0.3459,-0.6953,0.4444,1.833,-2.231,0.657,-2.414,0.3935,-0.879,0.4928,0.4667,2024-03-28 → 2026-04-09
TATAPOWER,0.5,True,210,-0.568,-0.6348,0.4714,1.634,-2.152,0.677,-2.493,0.5992,-0.948,0.5339,0.4762,2023-11-13 → 2026-04-10
AXISBANK,0.4894,False,98,-0.2639,-0.5452,0.4694,1.319,-1.717,0.68,-2.502,0.3422,-0.771,0.4805,0.5,2024-03-05 → 2026-04-09
ASIANPAINT,0.5291,True,98,-0.2351,-0.4981,0.449,1.119,-1.38,0.661,-2.568,0.2696,-0.872,0.4762,0.4694,2024-01-08 → 2026-04-09
HAVELLS,0.4704,False,96,-0.2869,-0.5883,0.4583,1.451,-1.833,0.67,-2.582,0.3378,-0.849,0.5212,0.4896,2023-12-12 → 2026-04-10
COFORGE,0.4758,False,116,-0.4211,-0.695,0.4569,1.718,-2.243,0.644,-2.676,0.4701,-0.896,0.5429,0.4569,2024-04-05 → 2026-04-10
NTPC,0.4959,False,164,-0.4449,-0.5952,0.5122,1.124,-1.869,0.631,-2.779,0.4536,-0.981,0.5167,0.5183,2024-04-19 → 2026-04-10
AUBANK,0.5085,True,84,-0.2629,-0.5995,0.4048,1.536,-1.621,0.644,-2.988,0.2932,-0.897,0.5042,0.4048,2024-05-07 → 2026-04-09
DLF,0.4808,False,154,-0.5761,-0.7545,0.487,1.647,-2.576,0.607,-3.223,0.5761,-1.0,0.5097,0.4935,2023-11-29 → 2026-04-09
EICHERMOT,0.52,True,75,-0.2418,-0.6054,0.48,1.008,-1.607,0.579,-3.31,0.2644,-0.914,0.5279,0.5067,2024-03-20 → 2026-04-10
