symbol,oos_accuracy,oos_f1,n_windows,n_predictions,n_features,n_rows
HDFCBANK,0.5313059033989267,0.601823708206687,6.0,559,47.0,1015.0
ICICIBANK,0.49733570159857904,0.6251655629139072,6.0,563,47.0,1022.0
SBIN,0.5574324324324325,0.674937965260546,6.0,592,47.0,1076.0
AXISBANK,0.4722222222222222,0.5788787483702738,6.0,612,47.0,1111.0
INDUSINDBK,0.4735202492211838,0.5407608695652174,6.0,642,47.0,1166.0
KOTAKBANK,0.5136054421768708,0.5201342281879194,6.0,588,47.0,1067.0
BANDHANBNK,0.4858420268256334,0.418212478920742,6.0,671,47.0,1220.0
IDFCFIRSTB,0.5239567233384853,0.56,6.0,647,47.0,1174.0
FEDERALBNK,0.5064935064935064,0.5619596541786743,6.0,616,47.0,1119.0
BAJAJFINSV,0.4674457429048414,0.5114854517611026,6.0,599,47.0,1088.0
AUBANK,0.5208012326656395,0.48932676518883417,6.0,649,47.0,1177.0
BAJFINANCE,0.5520661157024793,0.5636070853462157,6.0,605,47.0,1098.0
SBILIFE,0.48186528497409326,0.5508982035928144,6.0,579,47.0,1051.0
HDFCLIFE,0.45666666666666667,0.45484949832775917,6.0,600,47.0,1089.0
ICICIGI,0.4543918918918919,0.5228951255539144,6.0,592,47.0,1074.0
MUTHOOTFIN,0.537842190016103,0.6408010012515645,6.0,621,47.0,1128.0
CHOLAFIN,0.4713855421686747,0.509090909090909,6.0,664,47.0,1206.0
SHRIRAMFIN,0.4406779661016949,0.4979253112033195,6.0,649,47.0,1180.0
TCS,0.4846846846846847,0.5769230769230769,6.0,555,50.0,1008.0
MANAPPURAM,0.5038167938931297,0.570673712021136,6.0,655,47.0,1189.0
INFY,0.5,0.5395348837209303,6.0,594,50.0,1078.0
HCLTECH,0.5128644939965694,0.6172506738544474,6.0,583,50.0,1058.0
WIPRO,0.5153061224489796,0.5210084033613446,6.0,588,50.0,1068.0
TECHM,0.511437908496732,0.5841446453407511,6.0,612,50.0,1112.0
LTIM,0.4967637540453074,0.5674547983310153,6.0,618,50.0,1122.0
PERSISTENT,0.46841294298921415,0.5936395759717314,6.0,649,50.0,1178.0
