symbol,oos_accuracy,tradeable,cross_sectional_top15,sharpe_rank,n_trades,total_return,ann_return,win_rate,avg_win_pct,avg_loss_pct,profit_factor,sharpe,max_drawdown,calmar,binary_dir_acc,up_signal_acc,date_range
TATASTEEL,0.4986,False,False,1,212,0.8722,1.1074,0.5283,2.52,-1.788,1.579,0.935,0.3993,2.185,0.533,0.533,2023-12-12 → 2026-04-16
RBLBANK,0.5246,True,True,2,157,0.1162,0.1929,0.5223,2.229,-2.201,1.107,0.478,0.3778,0.308,0.4945,0.5287,2024-04-30 → 2026-04-10
GRASIM,0.5098,True,True,3,187,0.1152,0.1583,0.5241,1.703,-1.615,1.161,0.388,0.4132,0.279,0.5135,0.5294,2024-04-05 → 2026-04-16
HAVELLS,0.5123,True,True,4,114,0.0635,0.1457,0.5789,1.481,-1.852,1.099,0.383,0.182,0.349,0.5212,0.5965,2023-12-13 → 2026-04-16
BEL,0.4823,False,False,5,176,0.0204,0.0293,0.4773,1.995,-1.742,1.045,0.105,0.328,0.062,0.4986,0.4886,2024-05-07 → 2026-04-16
ONGC,0.4921,False,False,6,174,-0.0953,-0.135,0.5172,1.833,-1.961,1.002,-0.104,0.4401,-0.217,0.4928,0.5345,2024-04-02 → 2026-04-16
BOSCHLTD,0.5146,False,False,7,233,-0.0371,-0.0401,0.5365,1.501,-1.723,1.008,-0.136,0.3638,-0.102,0.5457,0.5579,2024-01-05 → 2026-04-16
FEDERALBNK,0.5065,False,False,8,191,-0.0458,-0.06,0.5236,1.643,-1.802,1.002,-0.157,0.2823,-0.162,0.5403,0.534,2024-02-06 → 2026-04-16
BAJFINANCE,0.5091,False,False,9,130,-0.0278,-0.0533,0.5462,1.351,-1.636,0.994,-0.255,0.2164,-0.129,0.5061,0.5538,2024-05-08 → 2026-04-16
SAIL,0.5315,False,False,10,153,-0.1293,-0.204,0.5163,2.356,-2.582,0.974,-0.272,0.3874,-0.334,0.4986,0.5229,2024-04-15 → 2026-04-16
ADANIPORTS,0.5396,False,False,11,138,-0.1065,-0.1858,0.5217,2.037,-2.288,0.971,-0.291,0.3163,-0.337,0.4866,0.5217,2024-05-09 → 2026-04-16
NMDC,0.4931,False,False,12,155,-0.1083,-0.17,0.5355,1.976,-2.356,0.967,-0.358,0.3517,-0.308,0.5042,0.5355,2024-05-09 → 2026-04-16
NAUKRI,0.4654,False,False,13,188,-0.1123,-0.1476,0.4947,1.833,-1.867,0.962,-0.417,0.3356,-0.335,0.4776,0.5053,2024-02-09 → 2026-04-16
TORNTPHARM,0.5094,False,False,14,150,-0.0611,-0.1005,0.5333,1.402,-1.658,0.966,-0.452,0.1827,-0.334,0.5344,0.5333,2024-04-03 → 2026-04-16
