symbol,window_id,train_ratio,train_size,val_size,test_size,test_start,test_end,oos_accuracy,auc,f1,precision,recall,tp,fp,tn,fn,lgbm_acc,xgb_acc,lstm_acc,bilstm_acc,gru_acc,cnn_lstm_acc,cnn_gru_acc,tcn_gru_acc,tcn_transformer_acc,nbeats_acc,dir_acc_up,dir_acc_down,pct_neutral,pct_up,pct_down,temperature,dl_models_trained
HDFCBANK,1,0.7,640,71,101,2024-02-28,2024-11-01,0.49504950495049505,0.45975609756097563,0.5321100917431193,0.5918367346938775,0.48333333333333334,29,20,21,31,0.49504950495049505,0.5247524752475248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5918367346938775,0.40384615384615385,0.0,0.48514851485148514,0.5148514851485149,0.10000660285425449,0
HDFCBANK,2,0.75,686,76,101,2024-07-09,2025-02-21,0.39603960396039606,0.36399371069182396,0.46956521739130436,0.43548387096774194,0.5094339622641509,27,35,13,26,0.42574257425742573,0.5247524752475248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43548387096774194,0.33333333333333337,0.0,0.6138613861386139,0.38613861386138615,0.15590377781648848,0
HDFCBANK,3,0.8,731,81,102,2024-11-04,2025-07-14,0.45098039215686275,0.4161490683229814,0.4909090909090909,0.5,0.48214285714285715,27,27,19,29,0.5,0.45098039215686275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.39583333333333337,0.0,0.5294117647058824,0.47058823529411764,1.0,0
HDFCBANK,4,0.85,777,86,102,2025-02-28,2025-12-10,0.5294117647058824,0.5068979109184075,0.6065573770491803,0.5873015873015873,0.6271186440677966,37,26,17,22,0.5490196078431373,0.5784313725490197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5873015873015873,0.4358974358974359,0.0,0.6176470588235294,0.38235294117647056,1.0,0
HDFCBANK,5,0.9,823,91,102,2025-07-16,2026-04-21,0.5098039215686274,0.5469785575048733,0.5454545454545454,0.46153846153846156,0.6666666666666666,30,35,22,15,0.5,0.4411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.5945945945945945,0.0,0.6372549019607843,0.3627450980392157,0.2862402708824027,0
HDFCBANK,6,0.95,869,96,51,2025-12-12,2026-04-21,0.47058823529411764,0.6094276094276094,0.509090909090909,0.3783783783783784,0.7777777777777778,14,23,10,4,0.5294117647058824,0.37254901960784315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3783783783783784,0.7142857142857143,0.0,0.7254901960784313,0.27450980392156865,0.27753434824534096,0
ICICIBANK,1,0.7,644,71,102,2024-02-19,2024-10-25,0.5490196078431373,0.4928571428571428,0.6515151515151515,0.5972222222222222,0.7166666666666667,43,29,13,17,0.5392156862745098,0.5686274509803921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5972222222222222,0.43333333333333335,0.0,0.7058823529411765,0.29411764705882354,0.44391444972955657,0
ICICIBANK,2,0.75,690,76,102,2024-07-02,2025-03-12,0.5294117647058824,0.5279503105590062,0.6,0.5625,0.6428571428571429,36,28,18,20,0.5196078431372549,0.5196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5625,0.4736842105263158,0.0,0.6274509803921569,0.37254901960784315,0.5484083968023263,0
ICICIBANK,3,0.8,736,81,102,2024-10-28,2025-07-21,0.5392156862745098,0.5644290123456791,0.6115702479338843,0.5522388059701493,0.6851851851851852,37,30,18,17,0.5784313725490197,0.5294117647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5522388059701493,0.5142857142857142,0.0,0.6568627450980392,0.3431372549019608,0.3453317729566445,0
ICICIBANK,4,0.85,782,86,102,2025-03-13,2025-12-02,0.47058823529411764,0.43538461538461537,0.625,0.4787234042553192,0.9,45,49,3,5,0.5392156862745098,0.46078431372549017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4787234042553192,0.375,0.0,0.9215686274509803,0.0784313725490196,0.24155696869353097,0
ICICIBANK,5,0.9,828,91,103,2025-07-22,2026-04-21,0.46601941747572817,0.45075757575757575,0.6206896551724138,0.4639175257731959,0.9375,45,52,3,3,0.5145631067961165,0.46601941747572817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4639175257731959,0.5,0.0,0.941747572815534,0.05825242718446602,0.5717649430540603,0
ICICIBANK,6,0.95,873,97,52,2025-12-04,2026-04-21,0.4423076923076923,0.4556213017751479,0.6027397260273972,0.46808510638297873,0.8461538461538461,22,25,1,4,0.4807692307692308,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46808510638297873,0.19999999999999996,0.0,0.9038461538461539,0.09615384615384616,2.6655152952198,0
SBIN,1,0.7,678,75,108,2024-03-20,2024-11-07,0.5185185185185185,0.5305114638447971,0.6176470588235294,0.5753424657534246,0.6666666666666666,42,31,14,21,0.46296296296296297,0.5740740740740741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5753424657534246,0.4,0.0,0.6759259259259259,0.32407407407407407,0.3403328776101245,0
SBIN,2,0.75,727,80,108,2024-07-19,2025-02-21,0.46296296296296297,0.5203448275862068,0.546875,0.44871794871794873,0.7,35,43,15,15,0.46296296296296297,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44871794871794873,0.5,0.0,0.7222222222222222,0.2777777777777778,0.5601292687154957,0
SBIN,3,0.8,775,86,108,2024-11-08,2025-07-14,0.5185185185185185,0.546639231824417,0.6486486486486487,0.5106382978723404,0.8888888888888888,48,46,8,6,0.5462962962962963,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5106382978723404,0.5714285714285714,0.0,0.8703703703703703,0.12962962962962962,0.5271125240033175,0
SBIN,4,0.85,824,91,108,2025-02-24,2025-12-04,0.5277777777777778,0.5357643758765778,0.6530612244897959,0.5647058823529412,0.7741935483870968,48,37,9,14,0.5555555555555556,0.5740740740740741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5647058823529412,0.3913043478260869,0.0,0.7870370370370371,0.21296296296296297,1.0,0
SBIN,5,0.9,873,96,108,2025-07-15,2026-04-21,0.49074074074074076,0.47583774250440913,0.6153846153846154,0.55,0.6984126984126984,44,36,9,19,0.5277777777777778,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.3214285714285714,0.0,0.7407407407407407,0.25925925925925924,1.0,0
SBIN,6,0.95,921,102,54,2025-12-05,2026-04-21,0.5925925925925926,0.45596590909090917,0.7027027027027027,0.6190476190476191,0.8125,26,16,6,6,0.5925925925925926,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6190476190476191,0.5,0.0,0.7777777777777778,0.2222222222222222,0.4171266578042159,0
AXISBANK,1,0.7,700,77,111,2024-03-05,2024-11-04,0.5225225225225225,0.4720234222511385,0.6074074074074074,0.5324675324675324,0.7068965517241379,41,36,17,17,0.4864864864864865,0.5495495495495496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5324675324675324,0.5,0.0,0.6936936936936937,0.3063063063063063,0.5549519513716795,0
AXISBANK,2,0.75,750,83,111,2024-07-16,2025-03-21,0.4144144144144144,0.4360655737704918,0.4715447154471545,0.3972602739726027,0.58,29,44,17,21,0.3963963963963964,0.46846846846846846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3972602739726027,0.4473684210526315,0.0,0.6576576576576577,0.34234234234234234,0.22441596286945115,0
AXISBANK,3,0.8,800,88,111,2024-11-05,2025-07-30,0.44144144144144143,0.5322473404255319,0.5441176470588235,0.4157303370786517,0.7872340425531915,37,52,12,10,0.46846846846846846,0.46846846846846846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4157303370786517,0.5454545454545454,0.0,0.8018018018018018,0.1981981981981982,0.28368728304388,0
AXISBANK,4,0.85,850,94,111,2025-03-24,2025-12-05,0.4864864864864865,0.5207792207792208,0.6122448979591837,0.4945054945054945,0.8035714285714286,45,46,9,11,0.4954954954954955,0.5315315315315315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4945054945054945,0.44999999999999996,0.0,0.8198198198198198,0.18018018018018017,1.0,0
AXISBANK,5,0.9,900,99,112,2025-07-31,2026-04-16,0.5803571428571429,0.559002238567317,0.6466165413533834,0.581081081081081,0.7288135593220338,43,31,22,16,0.5,0.5357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.581081081081081,0.5789473684210527,0.0,0.6607142857142857,0.3392857142857143,1.0,0
AXISBANK,6,0.95,950,105,56,2025-12-10,2026-04-16,0.6607142857142857,0.6360153256704981,0.6779661016949152,0.625,0.7407407407407407,20,12,17,7,0.6428571428571429,0.5535714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.7083333333333333,0.0,0.5714285714285714,0.42857142857142855,1.0,0
INDUSINDBK,1,0.7,735,81,117,2024-03-18,2024-12-13,0.5384615384615384,0.47530864197530864,0.625,0.5,0.8333333333333334,45,45,18,9,0.5299145299145299,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6666666666666667,0.0,0.7692307692307693,0.23076923076923078,0.4207328882109091,0
INDUSINDBK,2,0.75,788,87,116,2024-08-14,2025-04-09,0.4827586206896552,0.5160523186682522,0.6052631578947368,0.48936170212765956,0.7931034482758621,46,48,10,12,0.39655172413793105,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48936170212765956,0.4545454545454546,0.0,0.8103448275862069,0.1896551724137931,1.0,0
INDUSINDBK,3,0.8,840,93,117,2024-12-16,2025-08-04,0.5213675213675214,0.4541446208112875,0.6585365853658537,0.5346534653465347,0.8571428571428571,54,47,7,9,0.48717948717948717,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5346534653465347,0.4375,0.0,0.8632478632478633,0.13675213675213677,1.0,0
INDUSINDBK,4,0.85,892,99,117,2025-04-16,2025-12-03,0.5128205128205128,0.48479532163742683,0.6174496644295302,0.5168539325842697,0.7666666666666667,46,43,14,14,0.46153846153846156,0.5128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5168539325842697,0.5,0.0,0.7606837606837606,0.23931623931623933,1.0,0
INDUSINDBK,5,0.9,945,105,117,2025-08-05,2026-04-21,0.5128205128205128,0.4918176504967855,0.5714285714285714,0.5066666666666667,0.6551724137931034,38,37,22,20,0.452991452991453,0.5128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5066666666666667,0.5238095238095238,0.0,0.6410256410256411,0.358974358974359,0.5000095585036667,0
INDUSINDBK,6,0.95,998,110,59,2025-12-04,2026-04-21,0.3898305084745763,0.3640552995391705,0.5135135135135135,0.4418604651162791,0.6129032258064516,19,24,4,12,0.5254237288135594,0.423728813559322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4418604651162791,0.25,0.0,0.7288135593220338,0.2711864406779661,0.15175112907976593,0
