symbol,n,model_acc,p_alwaysup,p_mom5,p_ar1,dm_alwaysup,dm_mom5,dm_ar1
ABB,398,0.4296,0.9906,0.8756,0.9347,2.349,1.153,1.511
ADANIENT,400,0.5325,0.0307,0.0241,0.3147,-1.871,-1.976,-0.483
ADANIPORTS,344,0.5087,0.3272,0.2438,0.7878,-0.448,-0.694,0.799
ALKEM,327,0.4618,0.9895,0.638,0.6698,2.307,0.353,0.439
AMBUJACEM,340,0.5529,0.0085,0.0973,0.0109,-2.387,-1.297,-2.294
ASIANPAINT,366,0.4863,0.522,0.4383,0.592,0.055,-0.155,0.233
AUBANK,352,0.4858,0.9324,0.9145,0.1873,1.494,1.369,-0.888
AUROPHARMA,357,0.5182,0.5513,0.1693,0.3419,0.129,-0.957,-0.407
AXISBANK,320,0.5344,0.5753,0.2969,0.2802,0.19,-0.533,-0.582
BAJAJ-AUTO,314,0.4968,0.8436,0.7997,0.3673,1.009,0.841,-0.339
BAJAJFINSV,322,0.5186,0.5,0.3537,0.3044,0.0,-0.375,-0.512
BAJFINANCE,338,0.5414,0.4321,0.068,0.0875,-0.171,-1.491,-1.356
BANDHANBNK,362,0.5884,0.0345,0.0012,0.1212,-1.819,-3.038,-1.169
BEL,348,0.5862,0.1418,0.0258,0.0588,-1.072,-1.947,-1.565
BERGEPAINT,372,0.5054,0.1681,0.2287,0.2872,-0.962,-0.743,-0.562
BHARTIARTL,318,0.5283,0.7082,0.1234,0.27,0.548,-1.158,-0.613
BHEL,427,0.4496,0.9892,0.7539,0.916,2.296,0.687,1.379
BOSCHLTD,379,0.5383,0.4185,0.6019,0.213,-0.206,0.258,-0.796
BPCL,341,0.5513,0.3912,0.0753,0.075,-0.276,-1.438,-1.439
BRITANNIA,300,0.5733,0.297,0.0489,0.0398,-0.533,-1.655,-1.753
CHOLAFIN,356,0.5674,0.2136,0.0389,0.0846,-0.794,-1.764,-1.375
CIPLA,314,0.5573,0.036,0.0093,0.0666,-1.799,-2.352,-1.502
COALINDIA,329,0.4742,0.9632,0.1078,0.7553,1.789,-1.238,0.691
COFORGE,361,0.5429,0.9938,0.5647,0.5246,2.502,0.163,0.062
COLPAL,297,0.4074,0.7857,0.9814,0.5558,0.791,2.084,0.14
CUMMINSIND,347,0.5216,0.9781,0.2898,0.5704,2.015,-0.554,0.177
DIVISLAB,372,0.5511,0.2549,0.0335,0.3143,-0.659,-1.831,-0.484
DLF,422,0.519,0.2714,0.4256,0.6948,-0.609,-0.188,0.509
DMART,393,0.3995,0.9503,0.9179,0.9811,1.648,1.391,2.078
DRREDDY,316,0.4494,0.9434,0.8288,0.4447,1.584,0.949,-0.139
EICHERMOT,333,0.5285,0.9208,0.0587,0.0924,1.41,-1.566,-1.326
ETERNAL,216,0.5093,0.0887,0.0808,0.7913,-1.349,-1.399,0.811
EXIDEIND,342,0.5556,0.0025,0.0391,0.0208,-2.812,-1.761,-2.037
FEDERALBNK,344,0.561,0.7855,0.0566,0.0339,0.791,-1.584,-1.827
GAIL,406,0.4951,0.9199,0.0772,0.618,1.405,-1.424,0.3
GODREJCP,330,0.4939,0.1527,0.6886,0.5579,-1.025,0.492,0.146
GODREJPROP,416,0.4808,0.7784,0.8138,0.7985,0.767,0.892,0.836
GRASIM,329,0.541,0.1683,0.0681,0.0765,-0.961,-1.49,-1.429
HAL,354,0.4322,0.9015,0.6538,0.8741,1.29,0.396,1.146
HAVELLS,379,0.4644,0.7964,0.3993,0.7584,0.829,-0.255,0.701
HCLTECH,320,0.5688,0.5637,0.2466,0.0813,0.16,-0.685,-1.397
HDFCBANK,292,0.5205,0.7294,0.2885,0.0611,0.611,-0.558,-1.545
HDFCLIFE,316,0.5316,0.2287,0.3613,0.5508,-0.743,-0.355,0.128
HEROMOTOCO,334,0.5,0.1917,0.656,0.4097,-0.872,0.401,-0.228
HINDALCO,350,0.5657,0.8618,0.0501,0.0211,1.088,-1.644,-2.032
HINDUNILVR,290,0.4793,0.3765,0.5463,0.2855,-0.315,0.116,-0.567
ICICIBANK,307,0.5798,0.1204,0.1423,0.0227,-1.173,-1.07,-2.0
ICICIGI,312,0.484,0.67,0.8709,0.5561,0.44,1.131,0.141
IDFCFIRSTB,351,0.51,0.1302,0.2451,0.0957,-1.125,-0.69,-1.306
INDUSINDBK,335,0.4746,0.4685,0.3581,0.6177,-0.079,-0.364,0.299
INDUSTOWER,351,0.4416,0.9203,0.6328,0.9823,1.407,0.339,2.104
INFY,328,0.4421,0.9639,0.7771,0.9397,1.798,0.763,1.552
IRFC,229,0.5721,0.0124,0.2085,0.5302,-2.244,-0.812,0.076
ITC,306,0.5523,0.0725,0.0192,0.5,-1.457,-2.07,0.0
JSWSTEEL,337,0.5875,0.6713,0.026,0.0355,0.444,-1.943,-1.805
KOTAKBANK,317,0.5426,0.4115,0.056,0.3857,-0.224,-1.589,-0.291
LT,331,0.5408,0.5606,0.0456,0.5,0.152,-1.689,0.0
LTIM,340,0.5441,0.4628,0.6103,0.4058,-0.093,0.28,-0.238
LUPIN,330,0.5909,0.2337,0.0003,0.1833,-0.727,-3.434,-0.903
M&M,344,0.5262,0.6846,0.208,0.141,0.48,-0.813,-1.076
MANAPPURAM,358,0.5363,0.7617,0.0664,0.2771,0.712,-1.503,-0.591
MARICO,306,0.5392,0.3426,0.1274,0.3074,-0.405,-1.139,-0.503
MARUTI,314,0.5064,0.6463,0.4809,0.6171,0.375,-0.048,0.298
MOTHERSON,371,0.4232,0.981,0.9867,0.9242,2.075,2.219,1.434
MPHASIS,347,0.513,0.4085,0.2787,0.1215,-0.231,-0.587,-1.168
MUTHOOTFIN,340,0.6029,0.744,0.0001,0.0041,0.656,-3.7,-2.646
NAUKRI,401,0.5436,0.2059,0.0235,0.0456,-0.821,-1.987,-1.689
NESTLEIND,288,0.4792,0.6795,0.4062,0.1721,0.466,-0.237,-0.946
NMDC,366,0.4863,0.8904,0.0041,0.3553,1.228,-2.641,-0.371
NTPC,323,0.5015,0.9821,0.1334,0.3802,2.098,-1.111,-0.305
OFSS,331,0.4562,0.5298,0.7196,0.7541,0.075,0.582,0.687
ONGC,341,0.4575,0.9882,0.4199,0.9329,2.263,-0.202,1.498
PAGEIND,386,0.5207,0.1357,0.2422,0.1891,-1.1,-0.699,-0.881
PERSISTENT,348,0.5776,0.7178,0.0487,0.0767,0.576,-1.658,-1.427
PIDILITIND,352,0.4886,0.7647,0.67,0.738,0.721,0.44,0.637
POLYCAB,322,0.4783,0.9818,0.2199,0.7097,2.092,-0.773,0.552
POWERGRID,316,0.4873,0.5,0.1405,0.6446,0.0,-1.078,0.371
RELIANCE,321,0.5296,0.1529,0.2093,0.4176,-1.024,-0.809,-0.208
SAIL,365,0.5863,0.0743,0.0081,0.0256,-1.445,-2.407,-1.949
SBILIFE,321,0.5047,0.7124,0.5406,0.2363,0.56,0.102,-0.718
SBIN,334,0.485,0.9939,0.6441,0.8187,2.505,0.369,0.911
SHREECEM,321,0.5109,0.3787,0.1885,0.3496,-0.309,-0.884,-0.386
SIEMENS,401,0.5037,0.8207,0.6596,0.1981,0.918,0.411,-0.848
SUNPHARMA,304,0.5493,0.096,0.2119,0.0627,-1.305,-0.8,-1.533
TATACONSUM,308,0.461,0.6317,0.3908,0.8251,0.336,-0.277,0.935
TATAELXSI,340,0.5647,0.0013,0.2351,0.1235,-3.015,-0.722,-1.158
TATAPOWER,403,0.5136,0.5484,0.0128,0.2185,0.122,-2.231,-0.777
TATASTEEL,395,0.5165,0.8325,0.2235,0.3807,0.964,-0.761,-0.304
TCS,314,0.4777,0.1337,0.5402,0.829,-1.109,0.101,0.95
TECHM,328,0.5122,0.9518,0.5,0.0899,1.663,0.0,-1.341
TITAN,388,0.5387,0.6668,0.3823,0.313,0.431,-0.299,-0.487
TORNTPHARM,309,0.5566,0.4674,0.0147,0.2882,-0.082,-2.179,-0.559
TVSMOTOR,338,0.5621,0.5887,0.0707,0.1536,0.224,-1.471,-1.021
ULTRACEMCO,312,0.5577,0.2293,0.0692,0.1485,-0.741,-1.482,-1.043
VEDL,360,0.4861,0.9704,0.0924,0.5973,1.886,-1.326,0.246
VOLTAS,391,0.5166,0.4549,0.5911,0.4765,-0.113,0.23,-0.059
WIPRO,329,0.5289,0.5823,0.1757,0.174,0.208,-0.932,-0.939
