symbol,oos_accuracy,meta_val_auc,tradeable,cross_sectional_top15,sharpe_rank,n_trades,total_return,ann_return,win_rate,avg_win_pct,avg_loss_pct,profit_factor,sharpe,max_drawdown,calmar,binary_dir_acc,up_signal_acc,date_range
JSWSTEEL,0.5477,0.586,True,True,1,11,0.263,209.4247,0.8182,2.83,-0.83,15.333,17.279,0.0115,22.966,0.622,0.8182,2024-02-21 → 2026-04-22
PERSISTENT,0.5641,0.541,True,True,2,14,0.7612,26579.5901,0.8571,5.438,-2.811,11.606,12.531,0.0535,14.218,0.5782,0.8571,2024-05-13 → 2026-04-22
ADANIPORTS,0.4905,0.628,False,False,3,5,0.0812,50.0473,0.8,2.573,-2.3,4.474,11.064,0.023,3.529,0.4866,0.8,2024-04-03 → 2026-04-22
ETERNAL,0.5276,0.637,True,True,4,7,0.2996,12489.2332,0.5714,8.988,-2.561,4.68,9.258,0.0756,3.963,0.5169,0.7143,2025-02-04 → 2026-04-22
CHOLAFIN,0.5015,0.545,True,True,5,6,0.1237,132.8673,0.6667,3.919,-1.76,4.453,8.76,0.0254,4.86,0.5418,0.6667,2024-05-03 → 2026-04-21
ULTRACEMCO,0.5157,0.496,True,True,6,7,0.1956,619.3902,0.5714,6.765,-2.69,3.354,8.29,0.0459,4.261,0.5083,0.5714,2024-03-27 → 2026-04-22
HDFCBANK,0.527,0.565,True,True,7,5,0.1176,270.2274,0.6,5.514,-2.391,3.459,8.023,0.0477,2.467,0.576,0.6,2024-02-07 → 2026-04-22
BEL,0.5094,0.487,True,True,8,16,0.5765,1298.3405,0.5,9.713,-3.241,2.997,5.789,0.1061,5.436,0.5385,0.5,2024-04-25 → 2026-04-22
HINDALCO,0.5397,0.477,True,True,9,9,0.2734,868.6894,0.6667,7.966,-6.678,2.386,5.659,0.1208,2.263,0.6158,0.6667,2024-03-20 → 2026-04-22
MPHASIS,0.5016,0.617,True,True,10,6,0.1882,1398.8525,0.6667,9.075,-8.133,2.231,5.655,0.1564,1.204,0.5414,0.6667,2024-04-16 → 2026-04-22
TVSMOTOR,0.5339,0.603,True,True,11,13,0.4143,826.8385,0.6923,7.809,-7.593,2.314,5.545,0.1112,3.725,0.6159,0.6923,2024-03-28 → 2026-04-22
COFORGE,0.546,0.561,True,True,12,15,0.2132,24.7057,0.6,6.312,-5.647,1.677,3.55,0.1732,1.231,0.6108,0.6,2024-05-15 → 2026-04-22
BANDHANBNK,0.5549,0.449,True,True,13,6,0.056,8.8489,0.6667,5.205,-7.111,1.464,2.799,0.1373,0.408,0.5099,0.6667,2024-04-15 → 2026-04-22
M&M,0.523,0.559,True,True,14,5,0.0391,5.9196,0.6,3.919,-3.636,1.617,2.726,0.0638,0.613,0.5749,0.6,2024-04-29 → 2026-04-21
PAGEIND,0.5275,0.491,True,True,15,5,0.033,4.14,0.4,7.289,-3.514,1.383,2.199,0.0876,0.377,0.4509,0.4,2023-12-22 → 2026-04-22
MARICO,0.5435,0.461,True,True,16,7,0.0356,2.5245,0.7143,2.863,-5.013,1.428,1.994,0.0993,0.358,0.5286,0.7143,2024-06-03 → 2026-04-21
