symbol,oos_accuracy,oos_f1,n_windows,n_predictions,n_features,n_rows,status
SBIN,0.5521172638436482,0.6523388116308471,6.0,614,47.0,1115.0,ok
HDFCBANK,0.5547309833024119,0.5959595959595959,6.0,539,47.0,977.0,ok
ICICIBANK,0.5318021201413428,0.6015037593984962,6.0,566,47.0,1027.0,ok
AXISBANK,0.5483870967741935,0.6607142857142857,6.0,589,47.0,1070.0,ok
KOTAKBANK,0.5180102915951973,0.4253578732106339,6.0,583,47.0,1059.0,ok
INDUSINDBK,0.4707792207792208,0.5721784776902887,6.0,616,47.0,1120.0,ok
BANDHANBNK,0.5262368815592204,0.471571906354515,6.0,667,47.0,1211.0,ok
IDFCFIRSTB,0.4697674418604651,0.4,6.0,645,47.0,1172.0,ok
FEDERALBNK,0.5908372827804107,0.686819830713422,6.0,633,47.0,1150.0,ok
BAJFINANCE,0.5,0.522273425499232,6.0,622,47.0,1129.0,ok
RBLBANK,0.4949348769898697,0.5277401894451962,6.0,691,47.0,1255.0,ok
AUBANK,0.5192604006163328,0.5478260869565217,6.0,649,47.0,1177.0,ok
BAJAJFINSV,0.4729729729729729,0.5357142857142857,6.0,592,47.0,1076.0,ok
HDFCLIFE,0.483704974271012,0.4801381692573402,6.0,583,47.0,1057.0,ok
SBILIFE,0.4966101694915254,0.5726618705035971,6.0,590,47.0,1072.0,ok
ICICIGI,0.4860627177700348,0.5655375552282769,6.0,574,47.0,1043.0,ok
MUTHOOTFIN,0.5888,0.6958579881656805,6.0,625,47.0,1135.0,ok
CHOLAFIN,0.5541984732824428,0.6256410256410256,6.0,655,47.0,1189.0,ok
SHRIRAMFIN,0.5562310030395137,0.6964656964656964,6.0,658,47.0,1194.0,ok
TCS,0.5164644714038128,0.4685714285714286,6.0,577,50.0,1048.0,ok
MANAPPURAM,0.5379939209726444,0.6218905472636815,6.0,658,47.0,1194.0,ok
HCLTECH,0.534804753820034,0.6893424036281179,6.0,589,50.0,1069.0,ok
INFY,0.5140961857379768,0.6149802890932983,6.0,603,50.0,1095.0,ok
WIPRO,0.5041322314049587,0.5738636363636364,6.0,605,50.0,1100.0,ok
TECHM,0.5538971807628524,0.6633291614518148,6.0,603,50.0,1095.0,ok
LTIM,0.5312,0.6651428571428571,6.0,625,50.0,1135.0,ok
MPHASIS,0.457680250783699,0.5140449438202247,6.0,638,50.0,1158.0,ok
PERSISTENT,0.5421875,0.6762430939226519,6.0,640,50.0,1163.0,ok
COFORGE,0.524812030075188,0.6631130063965884,6.0,665,50.0,1207.0,ok
TATAELXSI,0.5616,0.3828828828828828,6.0,625,50.0,1135.0,ok
OFSS,0.4786885245901639,0.5495750708215298,6.0,610,50.0,1108.0,ok
NAUKRI,0.4938941655359565,0.5984930032292788,6.0,737,50.0,1338.0,ok
MARUTI,0.5207612456747405,0.5481239804241436,6.0,578,50.0,1049.0,ok
BAJAJ-AUTO,0.5025996533795494,0.6554621848739496,6.0,577,50.0,1048.0,ok
HEROMOTOCO,0.4967532467532468,0.5481049562682215,6.0,616,50.0,1117.0,ok
M&M,0.504746835443038,0.6339181286549708,6.0,632,50.0,1147.0,ok
EICHERMOT,0.5326797385620915,0.5902578796561605,6.0,612,50.0,1111.0,ok
TVSMOTOR,0.5362318840579711,0.6929637526652452,6.0,621,50.0,1127.0,ok
BOSCHLTD,0.5365853658536586,0.67472306143001,6.0,697,50.0,1265.0,ok
