symbol,model,oos_acc,n_oos,n_trades,total_return,win_rate,sharpe,max_dd,precision
SBIN,LGBM_BASE_bin_0.4%,0.541958041958042,572,80,0.028160606868269156,0.6,0.23025091102580575,0.1726188335312132,0.6
SBIN,B1_alwaysUP_BASE_bin_0.4%,0.5437062937062938,572,572,-0.5043073216494425,0.5437062937062938,-1.0347357678961053,0.6258224878811744,0.5437062937062938
SBIN,B2_momentum5_BASE_bin_0.4%,0.47202797202797203,572,317,-0.39290025631967174,0.5141955835962145,-1.3730735661387972,0.5966600704268952,0.5141955835962145
SBIN,B3_AR1_BASE_bin_0.4%,0.4772727272727273,572,310,-0.3924864127991158,0.5193548387096775,-1.3816967633903812,0.6039442582347033,0.5193548387096775
HDFCBANK,LGBM_BASE_bin_0.4%,0.5009416195856874,531,0,0.0,0.0,0.0,0.0,0.0
HDFCBANK,B1_alwaysUP_BASE_bin_0.4%,0.512241054613936,531,531,-0.712843371131981,0.512241054613936,-2.2813664874577624,0.76535055762803,0.512241054613936
HDFCBANK,B2_momentum5_BASE_bin_0.4%,0.480225988700565,531,278,-0.593778878365492,0.49280575539568344,-3.5467782864149595,0.619556239727345,0.49280575539568344
HDFCBANK,B3_AR1_BASE_bin_0.4%,0.4971751412429379,531,275,-0.5693719020457333,0.509090909090909,-2.9003525996136137,0.6145319418094806,0.509090909090909
ICICIBANK,LGBM_BASE_bin_0.4%,0.5437616387337058,537,70,0.030340089147958604,0.5428571428571428,0.2979546876138694,0.13743819576777913,0.5428571428571428
ICICIBANK,B1_alwaysUP_BASE_bin_0.4%,0.521415270018622,537,537,-0.5794395850635423,0.521415270018622,-1.6484127748773383,0.6665332146370262,0.521415270018622
ICICIBANK,B2_momentum5_BASE_bin_0.4%,0.5083798882681564,537,278,-0.3028806336979073,0.5287769784172662,-1.4152740092397356,0.4778734834162042,0.5287769784172662
ICICIBANK,B3_AR1_BASE_bin_0.4%,0.5027932960893855,537,287,-0.42833931301865646,0.5226480836236934,-1.9058103227385734,0.5144103954322303,0.5226480836236934
AXISBANK,LGBM_BASE_bin_0.4%,0.4804088586030664,587,35,-0.2204877191856104,0.4,-6.025034359303623,0.24454581439706202,0.4
AXISBANK,B1_alwaysUP_BASE_bin_0.4%,0.4855195911413969,587,587,-0.6955975724651512,0.4855195911413969,-1.6797474671087251,0.7468628154766642,0.4855195911413969
AXISBANK,B2_momentum5_BASE_bin_0.4%,0.4752981260647359,587,317,-0.5923740149086276,0.4637223974763407,-2.803322590378462,0.60701199227342,0.4637223974763407
AXISBANK,B3_AR1_BASE_bin_0.4%,0.4735945485519591,587,282,-0.3352912971193608,0.4574468085106383,-1.20718710029377,0.4711907634510775,0.4574468085106383
KOTAKBANK,LGBM_BASE_bin_0.4%,0.4982456140350877,570,46,-0.09492738399073397,0.5652173913043478,-1.391482943892181,0.14743874159641376,0.5652173913043478
KOTAKBANK,B1_alwaysUP_BASE_bin_0.4%,0.4789473684210526,570,570,-0.7259071668615188,0.4789473684210526,-1.9282924819458942,0.7432342854024391,0.4789473684210526
KOTAKBANK,B2_momentum5_BASE_bin_0.4%,0.4421052631578947,570,307,-0.7257963864462129,0.42671009771986973,-3.7072810267323306,0.7270203900657952,0.42671009771986973
KOTAKBANK,B3_AR1_BASE_bin_0.4%,0.4631578947368421,570,275,-0.5783719953150599,0.44,-2.688118809798625,0.6023421417688255,0.44
TCS,LGBM_BASE_bin_0.4%,0.4714828897338403,526,57,-0.16868832533074896,0.45614035087719296,0.5364119484026417,0.5717974294400814,0.45614035087719296
TCS,B1_alwaysUP_BASE_bin_0.4%,0.45627376425855515,526,526,-0.8770800698746953,0.45627376425855515,-0.5218773053651437,0.9380868461129653,0.45627376425855515
TCS,B2_momentum5_BASE_bin_0.4%,0.49619771863117873,526,223,-0.6390919744666488,0.4439461883408072,-0.06783498640462177,0.8201869572967043,0.4439461883408072
TCS,B3_AR1_BASE_bin_0.4%,0.467680608365019,526,244,-0.9183162754670648,0.4180327868852459,-3.0153620065463196,0.9216364094715007,0.4180327868852459
INFY,LGBM_BASE_bin_0.4%,0.4825174825174825,572,87,-0.4107449083145662,0.4367816091954023,-4.853525244571125,0.41455688683035236,0.4367816091954023
INFY,B1_alwaysUP_BASE_bin_0.4%,0.49475524475524474,572,572,-0.8461751033085401,0.49475524475524474,-2.6557883589515927,0.8622323434454362,0.49475524475524474
