symbol,entry_date,exit_date,hold_days,gross_return,net_return,weight
TITAN,2023-11-20,2023-11-24,4,0.0152726512287793,0.012772651228779299,0.2
TITAN,2024-02-07,2024-02-13,6,-0.004627430534446808,-0.0071274305344468086,0.2
AXISBANK,2024-02-12,2024-02-19,7,0.02106618688933959,0.01856618688933959,0.2
KOTAKBANK,2024-02-13,2024-02-23,10,-0.015924731309786777,-0.018424731309786776,0.2
AXISBANK,2024-02-19,2024-02-27,8,0.025997961507684186,0.023497961507684188,0.2
BHARTIARTL,2024-02-08,2024-02-28,20,-0.0028738878620249153,-0.005373887862024916,0.2
TITAN,2024-02-23,2024-02-28,5,-0.026341121671325518,-0.028841121671325517,0.2
HDFCBANK,2024-02-19,2024-02-29,10,0.003581767071492825,0.001081767071492825,0.2
KOTAKBANK,2024-02-27,2024-03-07,9,0.03796410340292833,0.035464103402928326,0.2
TITAN,2024-03-04,2024-03-12,8,0.014601909595421958,0.012101909595421958,0.2
TATASTEEL,2024-03-04,2024-03-12,8,-0.003919048707549888,-0.006419048707549889,0.2
TECHM,2024-03-01,2024-03-15,14,0.0073045128786908275,0.004804512878690827,0.2
TATASTEEL,2024-03-12,2024-03-15,3,-0.07081969425479473,-0.07331969425479473,0.2
AXISBANK,2024-03-13,2024-03-27,14,-0.011890092502586325,-0.014390092502586325,0.2
TATASTEEL,2024-03-19,2024-03-27,8,0.026554647657655917,0.024054647657655918,0.2
TITAN,2024-03-20,2024-03-28,8,0.05884976400537911,0.05634976400537911,0.2
KOTAKBANK,2024-03-12,2024-04-02,21,-0.00015327271487841632,-0.0026532727148784164,0.2
TECHM,2024-03-15,2024-04-02,18,-0.013960324992941864,-0.016460324992941863,0.2
TITAN,2024-03-28,2024-04-04,7,-0.005010787205584122,-0.007510787205584122,0.2
KOTAKBANK,2024-04-03,2024-04-10,7,0.05476124872599897,0.052261248725998966,0.2
TECHM,2024-04-03,2024-04-10,7,0.008883328731291051,0.006383328731291051,0.2
TITAN,2024-04-04,2024-04-16,12,-0.04815274756770094,-0.05065274756770094,0.2
HCLTECH,2024-04-23,2024-04-26,3,-0.008609862178491912,-0.011109862178491912,0.2
AXISBANK,2024-04-23,2024-04-30,7,0.07675497655901053,0.07425497655901053,0.2
TITAN,2024-04-24,2024-04-30,6,-0.0056790617852081615,-0.008179061785208162,0.2
KOTAKBANK,2024-04-25,2024-05-03,8,-0.0487580808946394,-0.0512580808946394,0.2
HCLTECH,2024-04-26,2024-05-07,11,-0.08535470881662399,-0.087854708816624,0.2
WIPRO,2024-04-23,2024-05-09,16,-0.007465933109186973,-0.009965933109186973,0.2
BHARTIARTL,2024-04-30,2024-05-09,9,-0.035430783018383094,-0.037930783018383096,0.2
TITAN,2024-04-30,2024-05-10,10,-0.07941978699545149,-0.0819197869954515,0.2
KOTAKBANK,2024-05-03,2024-05-10,7,0.052531147122770516,0.050031147122770514,0.2
HCLTECH,2024-05-07,2024-05-14,7,-0.007438227290578747,-0.009938227290578748,0.2
HDFCBANK,2024-05-09,2024-05-15,6,0.007352869189745981,0.00485286918974598,0.2
WIPRO,2024-05-09,2024-05-15,6,0.005264227531966537,0.0027642275319665365,0.2
TITAN,2024-05-10,2024-05-15,5,-0.00647443424030969,-0.00897443424030969,0.2
TITAN,2024-05-15,2024-05-22,7,0.03527564592381349,0.03277564592381349,0.2
WIPRO,2024-05-15,2024-05-23,8,0.016364857268866384,0.013864857268866384,0.2
TECHM,2024-05-15,2024-05-23,8,0.04943105296067363,0.046931052960673625,0.2
KOTAKBANK,2024-05-10,2024-05-24,14,0.029446310722358815,0.026946310722358816,0.2
HCLTECH,2024-05-14,2024-05-24,10,0.010585538296462804,0.008085538296462804,0.2
TECHM,2024-05-24,2024-05-30,6,-0.06120659263606332,-0.06370659263606332,0.2
TCS,2024-05-22,2024-05-31,9,-0.02470736013697028,-0.02720736013697028,0.2
WIPRO,2024-05-23,2024-05-31,8,-0.055809441960216755,-0.05830944196021676,0.2
LT,2024-05-23,2024-05-31,8,0.023400570244518137,0.02090057024451814,0.2
HCLTECH,2024-05-24,2024-06-03,10,-0.007268455631842974,-0.009768455631842974,0.2
INFY,2024-05-30,2024-06-05,6,0.021901440158524688,0.01940144015852469,0.2
HCLTECH,2024-06-03,2024-06-06,3,0.06318225428307622,0.06068225428307622,0.2
TATASTEEL,2024-06-03,2024-06-06,3,-0.0126254592738132,-0.0151254592738132,0.2
BHARTIARTL,2024-06-04,2024-06-11,7,0.09813811991480659,0.09563811991480659,0.2
INFY,2024-06-05,2024-06-12,7,0.06480889832231806,0.06230889832231806,0.2
TECHM,2024-06-06,2024-06-12,6,0.06925529441768541,0.0667552944176854,0.2
TITAN,2024-06-03,2024-06-13,10,0.05606831515794175,0.05356831515794175,0.2
TATASTEEL,2024-06-07,2024-06-19,12,0.0004892453329210511,-0.002010754667078949,0.2
BHARTIARTL,2024-06-11,2024-06-27,16,0.03560864292570298,0.03310864292570298,0.2
ASIANPAINT,2024-06-19,2024-06-27,8,-0.0037520781713871187,-0.006252078171387119,0.2
TITAN,2024-06-13,2024-06-28,15,0.004124371938055704,0.0016243719380557042,0.2
MARUTI,2024-06-19,2024-06-28,9,-0.022027416464316052,-0.02452741646431605,0.2
LT,2024-06-13,2024-07-01,18,-0.04099227231360025,-0.043492272313600255,0.2
WIPRO,2024-06-27,2024-07-03,6,0.05520744178194459,0.052707441781944586,0.2
TITAN,2024-06-28,2024-07-03,5,-0.012910517987426595,-0.015410517987426596,0.2
TITAN,2024-07-03,2024-07-10,7,-0.040249996228761575,-0.04274999622876158,0.2
ASIANPAINT,2024-06-27,2024-07-11,14,0.04901332112796797,0.046513321127967966,0.2
LT,2024-07-09,2024-07-19,10,-0.00013004413490680378,-0.002630044134906804,0.2
TITAN,2024-07-10,2024-07-22,12,0.009131763068466636,0.006631763068466636,0.2
ASIANPAINT,2024-07-11,2024-07-22,11,-0.034896011997045506,-0.03739601199704551,0.2
BHARTIARTL,2024-07-09,2024-07-24,15,0.026293432768913938,0.02379343276891394,0.2
WIPRO,2024-07-11,2024-07-24,13,-0.05298634087805676,-0.05548634087805676,0.2
LT,2024-07-23,2024-07-26,3,0.04009264277773328,0.037592642777733276,0.2
BHARTIARTL,2024-07-24,2024-07-29,5,0.01797000148596628,0.01547000148596628,0.2
ASIANPAINT,2024-07-23,2024-07-30,7,0.037261329922530395,0.03476132992253039,0.2
BHARTIARTL,2024-07-29,2024-08-01,3,0.37551948310434846,0.37301948310434846,0.2
LT,2024-07-30,2024-08-02,3,-0.03142957672290381,-0.03392957672290381,0.2
TITAN,2024-07-29,2024-08-08,10,-0.019328930104381192,-0.02182893010438119,0.2
ASIANPAINT,2024-07-30,2024-08-08,9,0.03207936547239232,0.02957936547239232,0.2
BHARTIARTL,2024-08-01,2024-08-13,12,-0.022231734073405618,-0.024731734073405617,0.2
INFY,2024-08-08,2024-08-14,6,0.04595134631106035,0.043451346311060346,0.2
TECHM,2024-08-08,2024-08-14,6,0.3974129928852024,0.3949129928852024,0.2
TITAN,2024-08-08,2024-08-14,6,0.032049069261950835,0.029549069261950837,0.2
AXISBANK,2024-08-09,2024-08-19,10,0.01327893055373952,0.01077893055373952,0.2
BHARTIARTL,2024-08-13,2024-08-20,7,-0.0072274217698290455,-0.009727421769829046,0.2
TECHM,2024-08-14,2024-08-22,8,0.07274896398652508,0.07024896398652508,0.2
ASIANPAINT,2024-08-19,2024-08-23,4,0.009736442452616734,0.007236442452616733,0.2
BHARTIARTL,2024-08-20,2024-08-23,3,0.03974741901310308,0.03724741901310308,0.2
HCLTECH,2024-08-22,2024-08-27,5,0.021149729359891678,0.01864972935989168,0.2
LT,2024-08-19,2024-08-29,10,0.023784535049093947,0.021284535049093948,0.2
BHARTIARTL,2024-08-23,2024-08-29,6,0.03291848852087664,0.030418488520876644,0.2
ITC,2024-08-27,2024-09-04,8,-0.004133606895583397,-0.006633606895583398,0.2
SBIN,2024-08-27,2024-09-05,9,0.003493055706053738,0.0009930557060537381,0.2
