symbol,stock_idx,entry_day_idx,exit_day_idx,entry_px,entry_date,entry_score,gross_return,net_return,hold_days_real
TITAN,77,21,40,1.0,2023-11-20,0.4532195894863633,0.06567803432464947,0.06317803432464947,19
BERGEPAINT,80,23,57,1.0165152965000184,2023-11-22,0.42071336143357807,0.022954477169891296,0.020454477169891298,34
NAUKRI,93,59,73,0.974737511325479,2024-01-19,0.5421160788293479,0.021475008638029536,0.018975008638029537,14
HAVELLS,70,59,75,0.9927847190434836,2024-01-19,0.5585363363640528,0.0230665846647351,0.020566584664735103,16
IDFCFIRSTB,7,60,75,0.9099503462546038,2024-01-25,0.5357475955968014,0.03049763870027511,0.02799763870027511,15
GODREJPROP,85,60,76,1.1855711480766664,2024-01-25,0.5991173351103534,0.04601063809516459,0.04351063809516459,16
DIVISLAB,46,54,78,1.0518801596317497,2024-01-11,0.43874717465029717,-0.04082481192235843,-0.04332481192235843,24
BERGEPAINT,80,73,87,0.970679158500249,2024-02-15,0.3996288150451078,0.03614021498301101,0.03364021498301101,14
AXISBANK,3,75,89,1.0068300128938141,2024-02-19,0.6088450872452312,0.020320221860084642,0.017820221860084643,14
LTIM,23,78,95,0.9941999317767916,2024-02-23,0.5313065785903014,-0.06183961205634958,-0.06433961205634958,17
SHREECEM,76,78,96,0.9491576526717042,2024-02-23,0.6965026208185803,-0.006762311629557538,-0.009262311629557539,18
HDFCBANK,1,75,103,0.8428235723393737,2024-02-19,0.4409610378212906,0.07984877741648111,0.07734877741648111,28
AXISBANK,3,89,107,1.0272890221312083,2024-03-13,0.6214205825419561,-0.045031677841139706,-0.04753167784113971,18
KOTAKBANK,4,88,110,0.9734118093294298,2024-03-12,0.5674256725922862,0.04843380657816776,0.04593380657816776,22
BHEL,67,95,110,1.4430708343395937,2024-03-21,0.5381217664893668,0.11319554801778442,0.11069554801778442,15
SAIL,63,96,111,1.09519800655157,2024-03-22,0.8177803888582121,0.28564639419743787,0.28314639419743787,15
NESTLEIND,37,103,121,0.9725655598869797,2024-04-09,0.5521100410993635,-0.015128126724225255,-0.017628126724225254,18
SAIL,63,111,123,1.408037368055248,2024-04-25,0.7283220946557273,0.008790537667288545,0.006290537667288544,12
SHREECEM,76,110,125,0.8854284505881087,2024-04-24,0.7201165089127121,0.07984218032506751,0.07734218032506751,15
AXISBANK,3,109,127,1.0064335739414232,2024-04-23,0.678744421940323,0.08436915417084667,0.08186915417084667,18
MUTHOOTFIN,15,110,128,1.2219388326962741,2024-04-24,0.6387712720153967,0.062170265902908195,0.05967026590290819,18
VOLTAS,81,123,134,1.2600527472652583,2024-05-15,0.7219164289781874,0.024524025694729668,0.02202402569472967,11
