symbol,stock_idx,entry_day_idx,exit_day_idx,entry_px,entry_date,entry_score,gross_return,net_return,hold_days_real
TITAN,16,1,2,1.0,2023-11-20,0.4532195894863633,0.014525455361030781,0.01202545536103078,1
TITAN,16,44,45,1.0388322620456338,2024-02-07,0.4308963350461126,-0.007661071367116357,-0.010161071367116357,1
TITAN,16,45,47,1.0308736939476393,2024-02-08,0.38495438438980056,0.010185635321942277,0.007685635321942276,2
AXISBANK,3,47,48,0.9860575404627826,2024-02-12,0.6083889010609269,0.022977025777749516,0.020477025777749517,1
BHARTIARTL,13,45,49,0.9689074699127426,2024-02-08,0.5229441368890088,-0.023026824494912557,-0.025526824494912555,4
AXISBANK,3,48,49,1.0087142099883402,2024-02-13,0.6265518794028087,0.0243753351475815,0.021875335147581502,1
KOTAKBANK,4,48,49,0.9781158858169807,2024-02-13,0.5441322550310065,0.0067928365330631735,0.004292836533063173,1
AXISBANK,3,52,53,1.0068300128938141,2024-02-19,0.6088450872452312,0.01999162366634999,0.01749162366634999,1
TITAN,16,55,56,1.0510986098042814,2024-02-23,0.392276956497007,-0.018811284401679007,-0.021311284401679006,1
HDFCBANK,1,52,57,0.8428235723393737,2024-02-19,0.4409610378212906,0.015559893505662892,0.013059893505662891,5
TITAN,16,57,58,1.0402515294225125,2024-02-27,0.3690233337435385,-0.016188427040328857,-0.018688427040328855,1
KOTAKBANK,4,57,59,0.9529086554096592,2024-02-27,0.7161243861297887,-0.010136247917157282,-0.012636247917157282,2
KOTAKBANK,4,59,62,0.9432497370360219,2024-02-29,0.6499262316666221,0.022344554748692236,0.019844554748692237,3
TITAN,16,61,62,1.0721521519968917,2024-03-04,0.47574609256570555,0.004916428871203804,0.002416428871203804,1
TATASTEEL,19,61,63,1.1708340968416515,2024-03-04,0.4237935565368121,-0.009797569746564538,-0.012297569746564539,2
KOTAKBANK,4,62,64,0.9643262324269128,2024-03-05,0.5697600377226566,0.02567465747349207,0.02317465747349207,2
TECHM,9,60,65,0.9995758117316876,2024-03-01,0.44609413539767195,0.006486898272057839,0.003986898272057839,5
TITAN,16,63,65,1.0946586747435199,2024-03-06,0.45234896467255836,-0.006258621165394329,-0.00875862116539433,2
KOTAKBANK,4,65,66,0.9734118093294298,2024-03-12,0.5674256725922862,0.005347770898356918,0.0028477708983569183,1
TATASTEEL,19,65,66,1.1662455409876689,2024-03-12,0.4175247666773117,-0.058032855790586146,-0.06053285579058615,1
TATASTEEL,19,66,67,1.0985649816911174,2024-03-13,0.429951487955677,-0.008353505002372086,-0.010853505002372086,1
AXISBANK,3,66,69,1.0272890221312083,2024-03-13,0.6214205825419561,-0.020501660204654715,-0.023001660204654713,3
TECHM,9,68,69,1.0068772261217096,2024-03-15,0.4487585286160684,-0.007448124066542605,-0.009948124066542606,1
TATASTEEL,19,70,71,1.1375672800835082,2024-03-19,0.41133876891370724,-0.02084025607994633,-0.023340256079946328,1
TITAN,16,71,72,1.0418729322008842,2024-03-20,0.446640744303194,0.010318965647010847,0.007818965647010847,1
TATASTEEL,19,71,72,1.1138600866583999,2024-03-20,0.4027499689768752,0.030552737241363204,0.028052737241363205,1
TITAN,16,75,76,1.1031869083844985,2024-03-28,0.397678803057886,-0.012060048023840197,-0.014560048023840198,1
KOTAKBANK,4,77,78,0.9587252092279569,2024-04-03,0.44465954866657487,0.010397628295850003,0.007897628295850003,1
TECHM,9,77,78,1.0075509692771163,2024-04-03,0.4317747971135198,0.01920084903812036,0.01670084903812036,1
TITAN,16,78,80,1.0976590735385976,2024-04-04,0.4221879865546708,-0.02733458061047489,-0.02983458061047489,2
TECHM,9,80,81,1.0045406295116812,2024-04-09,0.43704814499353545,0.011906682405537827,0.009406682405537827,1
TITAN,16,81,83,1.0768970958857316,2024-04-10,0.41554127781822936,-0.029801661415233327,-0.03230166141523333,2
AXISBANK,3,86,87,1.0064335739414232,2024-04-23,0.678744421940323,0.0071039317726062645,0.004603931772606264,1
HCLTECH,7,86,87,0.9877743742404591,2024-04-23,0.6093235707176912,-0.004977444204840031,-0.007477444204840032,1
HCLTECH,7,87,88,0.9828577824057064,2024-04-24,0.6195892127770896,0.016832811326569885,0.014332811326569885,1
WIPRO,8,86,88,1.0306679885900456,2024-04-23,0.36562640635786703,-0.002380337274212163,-0.004880337274212164,2
KOTAKBANK,4,88,89,0.9096023479395874,2024-04-25,0.6199335026014353,-0.020670323906609056,-0.023170323906609055,1
TITAN,16,87,89,1.0241226449532732,2024-04-24,0.41270238214567956,-0.006911885691075259,-0.00941188569107526,2
AXISBANK,3,87,90,1.0135832093843633,2024-04-24,0.6653177754362225,0.06306144380257206,0.06056144380257206,3
HCLTECH,7,89,90,0.9792697730148027,2024-04-26,0.5864673341277311,-0.058655827250087444,-0.06115582725008745,1
TITAN,16,89,90,1.0170440262977145,2024-04-26,0.5006606560586367,0.005593104332586085,0.003093104332586085,1
HCLTECH,7,90,91,0.9218298943776141,2024-04-29,0.7342399586823509,-0.014992178680300228,-0.017492178680300226,1
TITAN,16,90,91,1.022732459647631,2024-04-29,0.4706687816424798,-0.004327495845984242,-0.006827495845984242,1
TITAN,16,90,91,1.022732459647631,2024-04-29,0.45278970936812685,-0.004327495845984242,-0.006827495845984242,1
KOTAKBANK,4,89,91,0.890800572781464,2024-04-26,0.4830085852379477,0.019832097935322146,0.017332097935322147,2
KOTAKBANK,4,91,92,0.9084670169817071,2024-04-30,0.557601256485493,-0.04756929321274661,-0.05006929321274661,1
TITAN,16,91,92,1.0183065891769527,2024-04-30,0.4529101604121899,-0.015421105484161313,-0.01792110548416131,1
BHARTIARTL,13,91,92,1.148711227434355,2024-04-30,0.3921392013356507,-0.033956002007684005,-0.03645600200768401,1
KOTAKBANK,4,92,93,0.865251883076795,2024-05-03,0.5551855468400235,0.0501712776586436,0.047671277658643596,1
HCLTECH,7,91,94,0.9080096558882627,2024-04-30,0.7738532288111213,-0.013573830544789556,-0.016073830544789555,3
HCLTECH,7,94,95,0.8956844866862027,2024-05-07,0.8060465555838263,-0.012998126145626565,-0.015498126145626566,1
ITC,14,93,95,1.0500267856217371,2024-05-06,0.4315236605764193,0.01437608965906989,0.01187608965906989,2
KOTAKBANK,4,93,96,0.9086626755473052,2024-05-06,0.48168040704709014,0.011574211815105873,0.009074211815105872,3
TITAN,16,92,96,1.0026031758500384,2024-05-03,0.5328629419528388,-0.07754883152224323,-0.08004883152224324,4
TITAN,16,92,96,1.0026031758500384,2024-05-03,0.4737517630753058,-0.07754883152224323,-0.08004883152224324,4
BHARTIARTL,13,95,96,1.1194352225344508,2024-05-08,0.41719417798831643,-0.010204907903683114,-0.012704907903683114,1
HDFCBANK,1,96,97,0.8827749675874381,2024-05-09,0.4998989270321782,0.0069328438582678675,0.004432843858267867,1
