config,hold_days,t1,t2,n_max,n_trades,total_return,ann_return,sharpe,max_dd,win_rate_days,trade_win,avg_hold,avg_trade_net
hold_10d_t0.58_0.60_n5,10,0.58,0.6,5,148,0.4026,0.169,0.635,0.2507,0.5,0.527,16.6,0.0015
hold_10d_t0.60_0.65_n5,10,0.6,0.65,5,144,0.4145,0.1736,0.634,0.2035,0.4963,0.5278,16.7,0.0043
hold_5d_t0.58_0.60_n5,5,0.58,0.6,5,278,0.3768,0.159,0.552,0.2915,0.5018,0.4892,8.5,0.0039
hold_5d_t0.55_0.55_n5,5,0.55,0.55,5,288,0.3075,0.1317,0.42,0.2695,0.4799,0.5243,8.5,0.007
hold_15d_t0.60_0.65_n5,15,0.6,0.65,5,96,0.2408,0.1047,0.298,0.2542,0.5128,0.4688,25.4,0.0022
hold_5d_t0.55_0.60_n5,5,0.55,0.6,5,279,0.1749,0.0772,0.154,0.366,0.4524,0.5018,8.5,0.0045
hold_5d_t0.58_0.60_n3,5,0.58,0.6,3,169,0.0787,0.0356,-0.033,0.3759,0.4963,0.4852,8.5,-0.0001
hold_5d_t0.58_0.60_n8,5,0.58,0.6,8,441,0.0916,0.0413,-0.063,0.2589,0.5018,0.4785,8.5,-0.002
hold_5d_t0.60_0.65_n5,5,0.6,0.65,5,266,-0.0956,-0.0453,-0.53,0.2956,0.4451,0.485,8.7,-0.0008
hold_3d_t0.58_0.60_n5,3,0.58,0.6,5,450,-0.242,-0.12,-1.013,0.3717,0.4451,0.4378,5.1,-0.004
hold_1d_t0.58_0.60_n5,1,0.58,0.6,5,1259,-0.4938,-0.2697,-2.259,0.566,0.3755,0.4996,1.7,-0.0026
