config,hold_days,t1,t2,n_max,n_trades,total_return,ann_return,sharpe,max_dd,win_rate_days,trade_win,avg_hold,avg_trade_net
hold_5d_t0.58_0.60_n3,5,0.58,0.6,3,143,1.1773,0.4569,1.831,0.211,0.4779,0.5385,9.3,0.004
hold_5d_t0.58_0.60_n5,5,0.58,0.6,5,234,0.8942,0.362,1.696,0.1475,0.5202,0.5513,9.2,0.0057
hold_3d_t0.58_0.60_n5,3,0.58,0.6,5,366,0.9038,0.3654,1.659,0.1396,0.499,0.5273,5.6,0.0035
hold_10d_t0.60_0.65_n5,10,0.6,0.65,5,117,0.7865,0.324,1.55,0.1943,0.5278,0.5556,18.5,0.0142
hold_5d_t0.55_0.60_n5,5,0.55,0.6,5,240,0.7027,0.2936,1.28,0.1768,0.5086,0.5375,9.3,0.0038
hold_10d_t0.58_0.60_n5,10,0.58,0.6,5,122,0.6535,0.2754,1.207,0.1393,0.524,0.5328,18.4,0.0033
hold_5d_t0.60_0.65_n5,5,0.6,0.65,5,207,0.5632,0.2412,1.186,0.1415,0.4798,0.5459,9.2,0.0067
hold_5d_t0.58_0.60_n8,5,0.58,0.6,8,342,0.4995,0.2165,1.044,0.1356,0.5182,0.5468,9.3,0.0049
hold_1d_t0.58_0.60_n5,1,0.58,0.6,5,941,0.3157,0.1419,0.576,0.1152,0.453,0.5377,1.8,-0.0001
hold_5d_t0.55_0.55_n5,5,0.55,0.55,5,254,0.2071,0.0953,0.252,0.2258,0.4779,0.5039,9.1,-0.001
hold_15d_t0.60_0.65_n5,15,0.6,0.65,5,82,0.127,0.0595,0.042,0.3465,0.4818,0.5366,26.8,0.0064
