symbol,stock_idx,entry_day_idx,exit_day_idx,entry_px,entry_date,entry_score,gross_return,net_return,hold_days_real
DIVISLAB,46,13,38,1.0,2023-11-06,0.3777256985318112,0.02791956755251368,0.02541956755251368,25
TITAN,77,21,40,1.0,2023-11-20,0.4532195894863633,0.06567803432464947,0.06317803432464947,19
BERGEPAINT,80,19,55,1.0,2023-11-16,0.3987496016935121,0.04098452265142449,0.03848452265142449,36
DLF,84,44,61,1.243909968989006,2023-12-27,0.39131719814157917,0.1746428798052715,0.1721428798052715,17
DIVISLAB,46,51,71,1.0596779743808604,2024-01-08,0.4001595073202202,-0.03422034483250269,-0.036720344832502694,20
HAVELLS,70,59,75,0.9927847190434836,2024-01-19,0.5585363363640528,0.0230665846647351,0.020566584664735103,16
PIDILITIND,79,61,82,1.0475251976859785,2024-01-30,0.4282275550103872,0.08700821149795313,0.08450821149795312,21
AXISBANK,3,71,87,1.0087142099883402,2024-02-13,0.6265518794028087,0.04768286948383915,0.04518286948383915,16
SHREECEM,76,75,91,0.9608260813896558,2024-02-19,0.5938654978107726,-0.030258386813634353,-0.032758386813634355,16
DIVISLAB,46,88,99,0.9925579121895743,2024-03-12,0.47098003036231995,0.01807492284813228,0.01557492284813228,11
KOTAKBANK,4,82,104,0.9432497370360219,2024-02-29,0.6499262316666221,0.0720662398994727,0.06956623989947269,22
LTIM,23,91,106,0.938946129879936,2024-03-15,0.5165312176653721,-0.06588065447712987,-0.06838065447712988,15
POWERGRID,55,104,117,1.05705342824761,2024-04-10,0.5359358912766533,0.08600277362028974,0.08350277362028974,13
SAIL,63,109,122,1.299628377142302,2024-04-23,0.7164708675425852,0.0814450017645596,0.0789450017645596,13
BANDHANBNK,6,99,124,1.070102619945363,2024-04-02,0.636007426091366,-0.10125117399611783,-0.10375117399611783,25
EXIDEIND,98,122,133,1.0136454152941126,2024-05-14,0.6336930324046902,0.09463408472998869,0.09213408472998869,11
HCLTECH,21,117,134,0.8956844866862027,2024-05-07,0.8060465555838263,-0.012479553206030447,-0.014979553206030448,17
VOLTAS,81,124,135,1.276631766546968,2024-05-16,0.7170653347543997,0.08594906963423377,0.08344906963423376,11
DRREDDY,44,133,149,0.9094489622147559,2024-06-03,0.7093235790640248,0.09890990290842638,0.09640990290842638,16
INFY,19,135,152,1.0020727473508506,2024-06-05,0.6394780073149783,0.16675874753865427,0.16425874753865427,17
ADANIENT,86,134,159,1.1220449457860033,2024-06-04,0.6956317257440423,0.03488341830974595,0.03238341830974595,25
MARICO,40,149,162,0.9775483330055157,2024-06-28,0.7283371854751879,0.08980418294750314,0.08730418294750314,13
MUTHOOTFIN,15,152,167,1.325233283932286,2024-07-03,0.649302569673615,-0.01017270954218441,-0.012672709542184411,15
CUMMINSIND,72,159,169,1.1378719460962299,2024-07-15,0.6252696971758768,-0.0046391305576621855,-0.007139130557662186,10
JSWSTEEL,61,163,176,1.2956518255002347,2024-07-23,0.6257462507848945,0.054375840054928126,0.051875840054928124,13
HAL,89,167,179,1.4328156217567607,2024-07-29,0.5563341693939854,-0.052095563631704644,-0.05459556363170465,12
AMBUJACEM,75,169,187,1.0694290104775217,2024-07-31,0.5409931063488421,-0.094267307594467,-0.096767307594467,18
BHARTIARTL,64,179,191,1.8107097412796087,2024-08-14,0.4969995084444298,0.06669885333404868,0.06419885333404868,12
SIEMENS,68,176,197,1.581157369516088,2024-08-09,0.5435189223785213,-0.055411395003269526,-0.05791139500326953,21
HEROMOTOCO,32,187,205,1.0607625474000097,2024-08-28,0.6946062335322674,0.12039024039328083,0.11789024039328083,18
EXIDEIND,98,191,205,0.9989988771209581,2024-09-04,0.8731643761134502,-0.13156464230031095,-0.13406464230031095,14
SHREECEM,76,197,210,0.8337302483241571,2024-09-12,0.6558938443128217,0.01935458912318566,0.016854589123185663,13
NMDC,94,205,219,0.9789518973324983,2024-09-24,0.6078487318114187,0.02340655928129909,0.02090655928129909,14
INDUSTOWER,65,205,221,0.8566314873308277,2024-09-24,0.6080536321869918,-0.05439800957522989,-0.05689800957522989,16
INFY,19,210,228,1.5517932749237602,2024-10-01,0.6303581323566843,-0.015373182049794543,-0.01787318204979454,18
SAIL,63,219,233,0.8665832121315696,2024-10-16,0.7201439683255944,-0.04877884225063556,-0.05127884225063556,14
BAJAJ-AUTO,31,221,235,0.9364856887163495,2024-10-18,0.7046584846795548,0.012848619453954324,0.010348619453954324,14
EXIDEIND,98,229,242,0.8371564662792043,2024-10-30,0.8709527367578633,-0.08855454925733686,-0.09105454925733686,13
MUTHOOTFIN,15,235,252,1.4485328532832729,2024-11-07,0.7659058780656886,0.08725371626226952,0.08475371626226952,17
HCLTECH,21,233,256,1.4164601152624696,2024-11-05,0.7856025230165349,0.14711303303390633,0.14461303303390632,23
RBLBANK,97,242,258,0.5163665938199061,2024-11-22,0.6906621587871206,0.05365249289593543,0.05115249289593543,16
EXIDEIND,98,256,270,0.6645954217261397,2024-12-13,0.728618445150794,-0.08431628560670912,-0.08681628560670912,14
INFY,19,252,274,1.6515635062187017,2024-12-09,0.7288860448492257,-0.12892533940062578,-0.13142533940062578,22
HEROMOTOCO,32,258,276,0.6284858035506683,2024-12-17,0.6652723087746112,-0.1352036450503209,-0.1377036450503209,18
HDFCBANK,1,270,285,1.2240144627260123,2025-01-07,0.7027389299855537,-4.4687138165855345e-05,-0.0025446871381658554,15
VOLTAS,81,276,287,1.1574557383358837,2025-01-16,0.6823102561497628,-0.17197068613778677,-0.17447068613778677,11
INFY,19,276,294,1.430033079721298,2025-01-16,0.7558517674652973,-0.03369462929352729,-0.03619462929352729,18
