h,t1,t2,n_max,bull_only,n_trades,total_return,ann_return,sharpe,max_dd,trade_win,avg_hold
10,0.58,0.6,3,False,89,2.138,0.6952,2.417,0.1832,0.5393,17.0
10,0.6,0.6,3,False,87,1.541,0.5379,2.001,0.1933,0.5057,17.4
10,0.58,0.55,3,False,88,1.1089,0.4111,1.493,0.2211,0.4773,17.5
10,0.6,0.6,5,False,145,0.812,0.3157,1.319,0.2155,0.5103,16.9
10,0.58,0.6,5,False,146,0.8316,0.3222,1.307,0.1826,0.5274,16.8
10,0.6,0.55,5,True,144,0.6893,0.2738,1.063,0.2413,0.5139,17.2
10,0.58,0.55,5,True,146,0.6481,0.2594,0.998,0.1784,0.5411,16.9
10,0.58,0.6,5,True,140,0.595,0.2404,0.961,0.2633,0.5286,17.1
10,0.6,0.6,5,True,141,0.5924,0.2395,0.957,0.1972,0.5248,17.1
10,0.6,0.55,3,False,87,0.6507,0.2603,0.914,0.3851,0.4598,17.6
10,0.55,0.55,5,False,152,0.5843,0.2366,0.901,0.279,0.5658,16.7
10,0.58,0.6,3,True,86,0.6179,0.2486,0.886,0.3957,0.5698,17.3
10,0.55,0.55,5,True,147,0.5344,0.2185,0.85,0.2354,0.551,17.0
10,0.55,0.65,3,True,83,0.5548,0.2259,0.808,0.2505,0.506,17.7
10,0.58,0.65,3,True,82,0.5479,0.2234,0.79,0.1812,0.5,17.7
10,0.58,0.55,3,True,86,0.4857,0.2005,0.71,0.3655,0.5233,17.4
10,0.6,0.65,5,True,139,0.3779,0.1595,0.558,0.2534,0.5324,17.0
10,0.6,0.55,5,False,148,0.3414,0.1452,0.501,0.2933,0.4865,17.1
10,0.6,0.6,3,True,84,0.3355,0.1429,0.458,0.3957,0.5357,17.7
10,0.58,0.65,3,False,87,0.3264,0.1393,0.433,0.3262,0.5287,16.8
10,0.55,0.6,3,False,89,0.3096,0.1326,0.401,0.3536,0.5393,17.1
10,0.55,0.65,5,False,143,0.2848,0.1226,0.395,0.2034,0.5944,17.0
10,0.58,0.65,5,True,137,0.2648,0.1145,0.354,0.2232,0.5109,17.1
10,0.55,0.6,5,True,143,0.2592,0.1122,0.335,0.284,0.5105,17.0
10,0.55,0.65,5,True,139,0.1835,0.0809,0.172,0.3148,0.5324,17.1
10,0.58,0.55,5,False,154,0.1696,0.075,0.144,0.3203,0.5325,16.5
10,0.6,0.55,3,True,86,0.1675,0.0741,0.142,0.3787,0.5581,17.5
10,0.6,0.65,3,False,86,0.1498,0.0666,0.105,0.3291,0.5349,17.2
5,0.58,0.6,5,True,264,0.1483,0.0659,0.088,0.3284,0.5038,8.5
10,0.58,0.65,5,False,143,0.1443,0.0642,0.085,0.27,0.5245,16.9
10,0.6,0.65,5,False,142,0.1331,0.0594,0.058,0.2291,0.5141,16.9
10,0.55,0.65,3,False,88,0.112,0.0502,0.025,0.3599,0.5795,17.2
5,0.6,0.6,3,True,155,0.0859,0.0388,-0.022,0.4269,0.4581,8.9
5,0.55,0.55,3,True,161,0.0804,0.0363,-0.029,0.3688,0.4783,8.8
5,0.55,0.6,3,True,156,0.0704,0.0319,-0.049,0.3688,0.4872,8.8
10,0.55,0.6,3,True,84,0.0792,0.0358,-0.057,0.3077,0.5119,17.7
5,0.58,0.6,3,True,156,0.0689,0.0312,-0.059,0.4318,0.4679,8.8
10,0.55,0.6,5,False,153,0.0735,0.0333,-0.08,0.3681,0.5294,16.4
5,0.58,0.55,3,True,160,0.0426,0.0195,-0.094,0.4318,0.4625,8.8
5,0.55,0.6,5,False,281,0.0224,0.0103,-0.191,0.304,0.4555,8.5
5,0.55,0.55,3,False,174,-0.0146,-0.0068,-0.192,0.394,0.454,8.6
5,0.6,0.6,5,True,256,0.036,0.0165,-0.209,0.3582,0.4961,8.8
5,0.58,0.65,5,False,277,0.0226,0.0104,-0.215,0.2699,0.4946,8.3
5,0.6,0.55,3,True,159,-0.016,-0.0074,-0.235,0.4269,0.4591,8.9
5,0.6,0.65,3,True,152,-0.0086,-0.004,-0.262,0.4159,0.4408,8.7
5,0.55,0.6,5,True,263,0.0061,0.0028,-0.271,0.2939,0.4981,8.6
5,0.55,0.6,3,False,169,-0.0572,-0.0268,-0.271,0.3938,0.4497,8.6
5,0.58,0.55,5,True,267,0.0068,0.0031,-0.277,0.3284,0.4831,8.6
5,0.6,0.55,5,False,285,-0.01,-0.0046,-0.289,0.3181,0.4667,8.5
10,0.55,0.55,3,True,85,-0.0783,-0.037,-0.418,0.3743,0.4706,17.6
5,0.55,0.55,5,False,285,-0.066,-0.031,-0.421,0.3292,0.4632,8.6
5,0.58,0.6,5,False,275,-0.0622,-0.0292,-0.422,0.3579,0.4764,8.5
5,0.58,0.6,3,False,169,-0.1244,-0.0595,-0.443,0.4106,0.4379,8.6
10,0.6,0.65,3,True,83,-0.1122,-0.0534,-0.46,0.4777,0.5542,17.4
5,0.6,0.6,5,False,269,-0.094,-0.0445,-0.508,0.3693,0.4833,8.7
5,0.6,0.55,5,True,267,-0.0799,-0.0377,-0.51,0.3983,0.4906,8.6
5,0.6,0.55,3,False,170,-0.1659,-0.0803,-0.525,0.4401,0.4529,8.7
5,0.6,0.6,3,False,167,-0.1623,-0.0785,-0.527,0.4401,0.4371,8.7
5,0.55,0.55,5,True,269,-0.105,-0.0499,-0.588,0.311,0.4907,8.7
10,0.55,0.55,3,False,89,-0.1524,-0.0735,-0.592,0.4359,0.4494,17.3
5,0.6,0.65,5,False,273,-0.1223,-0.0584,-0.611,0.3309,0.4799,8.5
5,0.58,0.55,3,False,171,-0.2081,-0.1021,-0.631,0.4106,0.4386,8.6
5,0.58,0.55,5,False,286,-0.159,-0.0768,-0.684,0.3369,0.4545,8.5
5,0.6,0.65,5,True,256,-0.1411,-0.0678,-0.729,0.3323,0.5,8.6
5,0.55,0.65,3,True,159,-0.2141,-0.1052,-0.826,0.3879,0.5094,8.5
5,0.58,0.65,5,True,260,-0.1847,-0.0899,-0.86,0.3536,0.4885,8.5
5,0.55,0.65,3,False,167,-0.2709,-0.1357,-0.891,0.4711,0.497,8.6
5,0.58,0.65,3,True,156,-0.2458,-0.1221,-0.942,0.414,0.4551,8.5
5,0.55,0.65,5,True,262,-0.192,-0.0937,-0.944,0.3001,0.5,8.5
5,0.58,0.65,3,False,167,-0.3006,-0.1521,-1.006,0.4887,0.4491,8.5
