symbol,n,model_acc,alwaysup_acc,mom5_acc,ar1_acc,dm_vs_alwaysup,p_alwaysup,dm_vs_mom5,p_mom5,dm_vs_ar1,p_ar1
ABB,398,0.4296,0.5176,0.4925,0.5,2.349,0.9906,1.153,0.8756,1.511,0.9347
ADANIENT,400,0.5325,0.455,0.4475,0.515,-1.871,0.0307,-1.976,0.0241,-0.483,0.3147
ADANIPORTS,344,0.5087,0.4855,0.4709,0.5465,-0.448,0.3272,-0.694,0.2438,0.799,0.7878
ALKEM,327,0.4618,0.526,0.4801,0.4832,2.307,0.9895,0.353,0.638,0.439,0.6698
AMBUJACEM,340,0.5529,0.4294,0.4794,0.4441,-2.387,0.0085,-1.297,0.0973,-2.294,0.0109
ASIANPAINT,366,0.4863,0.4891,0.4781,0.4973,0.055,0.522,-0.155,0.4383,0.233,0.592
AUBANK,352,0.4858,0.5824,0.5682,0.4517,1.494,0.9324,1.369,0.9145,-0.888,0.1873
AUROPHARMA,357,0.5182,0.5238,0.465,0.5014,0.129,0.5513,-0.957,0.1693,-0.407,0.3419
AXISBANK,320,0.5344,0.5406,0.5031,0.5062,0.19,0.5753,-0.533,0.2969,-0.582,0.2802
BAJAJ-AUTO,314,0.4968,0.5255,0.5414,0.4809,1.009,0.8436,0.841,0.7997,-0.339,0.3673
BAJAJFINSV,322,0.5186,0.5186,0.5,0.4938,0.0,0.5,-0.375,0.3537,-0.512,0.3044
BAJFINANCE,338,0.5414,0.5325,0.4675,0.4852,-0.171,0.4321,-1.491,0.068,-1.356,0.0875
BANDHANBNK,362,0.5884,0.4834,0.4282,0.5414,-1.819,0.0345,-3.038,0.0012,-1.169,0.1212
BEL,348,0.5862,0.546,0.4799,0.5172,-1.072,0.1418,-1.947,0.0258,-1.565,0.0588
BERGEPAINT,372,0.5054,0.4704,0.4677,0.4812,-0.962,0.1681,-0.743,0.2287,-0.562,0.2872
BHARTIARTL,318,0.5283,0.544,0.4591,0.4969,0.548,0.7082,-1.158,0.1234,-0.613,0.27
BHEL,427,0.4496,0.534,0.4848,0.5105,2.296,0.9892,0.687,0.7539,1.379,0.916
BOSCHLTD,379,0.5383,0.533,0.5515,0.5013,-0.206,0.4185,0.258,0.6019,-0.796,0.213
BPCL,341,0.5513,0.5396,0.4721,0.4839,-0.276,0.3912,-1.438,0.0753,-1.439,0.075
BRITANNIA,300,0.5733,0.5367,0.4933,0.4967,-0.533,0.297,-1.655,0.0489,-1.753,0.0398
CHOLAFIN,356,0.5674,0.5309,0.4775,0.5056,-0.794,0.2136,-1.764,0.0389,-1.375,0.0846
CIPLA,314,0.5573,0.4968,0.4268,0.4873,-1.799,0.036,-2.352,0.0093,-1.502,0.0666
COALINDIA,329,0.4742,0.4985,0.4134,0.5076,1.789,0.9632,-1.238,0.1078,0.691,0.7553
COFORGE,361,0.5429,0.6066,0.5512,0.5457,2.502,0.9938,0.163,0.5647,0.062,0.5246
