symbol,n_paths,sharpe_mean,sharpe_std,sharpe_min,sharpe_max,ret_mean,win_rate_mean,n_trades_mean
ABB,3,2.62,2.141,1.084,5.066,1.629,0.688,15.667
ADANIENT,12,0.764,0.862,-1.137,2.43,4.37,0.567,31.0
ADANIPORTS,8,0.346,0.987,-0.991,1.452,0.461,0.493,18.75
ALKEM,8,0.699,1.452,-2.427,2.426,0.274,0.534,21.625
AMBUJACEM,15,1.193,0.916,-0.412,3.629,0.65,0.604,25.733
ASIANPAINT,11,0.443,1.099,-0.848,2.765,0.092,0.503,27.273
AUBANK,9,0.38,0.74,-0.765,1.591,0.093,0.544,20.667
AUROPHARMA,4,1.087,0.738,0.34,2.068,0.53,0.503,18.0
AXISBANK,6,0.828,1.006,-0.531,2.472,0.479,0.573,19.667
BAJAJ-AUTO,9,0.837,0.392,0.177,1.353,1.285,0.526,27.667
BAJAJFINSV,11,0.414,1.232,-1.325,2.202,0.322,0.507,21.545
BAJFINANCE,9,0.981,0.406,0.122,1.485,0.438,0.515,22.889
BANDHANBNK,11,0.325,0.923,-0.786,2.156,-0.084,0.568,20.091
BEL,13,1.707,0.762,0.765,2.868,2.578,0.608,29.923
BERGEPAINT,10,0.377,0.982,-1.036,2.195,0.052,0.513,23.4
BHARTIARTL,11,1.476,0.525,1.0,2.728,1.391,0.617,24.182
BHEL,6,1.23,1.034,0.055,2.906,1.265,0.53,20.0
BOSCHLTD,6,-0.091,1.251,-1.626,1.157,0.012,0.417,23.5
BPCL,3,1.625,3.746,-1.064,5.903,0.103,0.546,8.333
BRITANNIA,12,1.876,0.792,0.771,3.634,0.488,0.574,18.167
CHOLAFIN,11,1.134,1.083,0.25,4.125,0.738,0.544,19.727
CIPLA,10,0.939,0.71,-0.422,2.402,0.348,0.523,19.0
COALINDIA,9,-0.045,2.183,-5.714,1.399,1.006,0.507,18.0
COFORGE,13,1.003,0.538,0.254,1.985,1.088,0.579,29.077
COLPAL,8,0.174,1.262,-1.551,1.924,0.086,0.522,19.75
