min_conf,meta_thr,n_stocks,n_trades_mean,sharpe_mean,sharpe_med,ret_mean,pct_pos
0.52,0.5,97,21,0.4569,0.3863,0.1421,0.7113
0.52,0.55,88,14,0.4915,0.3212,0.0771,0.6705
0.52,0.58,79,10,0.6835,0.4111,0.0836,0.6329
0.52,0.6,65,8,0.2042,0.1988,0.0475,0.5385
0.52,0.62,50,7,0.0029,0.1926,0.0283,0.52
0.55,0.5,97,16,0.3199,0.4059,0.0821,0.6701
0.55,0.55,82,11,0.3445,0.3131,0.0607,0.6098
0.55,0.58,69,9,0.4752,0.1699,0.0506,0.5217
0.55,0.6,53,7,0.1586,0.0578,0.0386,0.5094
0.55,0.62,36,7,0.0807,-0.0441,0.0367,0.4722
0.58,0.5,92,12,0.3215,0.5596,0.0791,0.6196
0.58,0.55,69,10,-0.0981,0.7854,0.0656,0.6232
0.58,0.58,57,8,0.4492,0.7187,0.0499,0.6491
0.58,0.6,34,7,-0.0984,0.2101,0.0472,0.5
0.58,0.62,22,7,0.2843,0.6942,0.095,0.5455
0.6,0.5,86,10,0.2703,0.3511,0.0463,0.593
0.6,0.55,53,9,0.3939,0.6809,0.048,0.566
0.6,0.58,40,8,0.4627,0.6933,0.0568,0.625
0.6,0.6,24,7,0.5589,0.8417,0.0979,0.6667
0.6,0.62,16,7,1.1234,0.9539,0.1685,0.625
0.62,0.5,77,9,0.3342,0.3796,0.0568,0.6364
0.62,0.55,44,9,0.1969,0.0502,0.1066,0.5227
0.62,0.58,28,8,1.1578,0.9089,0.1164,0.75
0.62,0.6,17,8,1.1982,1.1024,0.1583,0.7647
0.62,0.62,12,7,1.4104,1.4359,0.2269,0.75
0.65,0.5,55,8,0.6815,0.8429,0.0786,0.6909
0.65,0.55,33,7,0.9333,0.8154,0.1012,0.6364
0.65,0.58,20,7,1.6497,1.5933,0.1731,0.75
0.65,0.6,13,7,1.8144,2.4471,0.251,0.6923
0.65,0.62,10,6,1.754,2.1653,0.2662,0.7
