iter	Passed	Remaining
0	14	14052
1	26	13049
2	39	13146
3	52	13032
4	64	12773
5	76	12719
6	88	12541
7	101	12589
8	113	12526
9	125	12455
10	137	12377
11	151	12507
12	164	12452
13	175	12381
14	189	12464
15	201	12405
16	215	12472
17	227	12391
18	238	12298
19	249	12241
20	260	12127
21	271	12070
22	282	11985
23	295	12019
24	306	11942
25	316	11874
26	327	11794
27	338	11744
28	349	11716
29	360	11671
30	375	11722
31	386	11700
32	399	11694
33	410	11662
34	420	11607
35	432	11586
36	443	11550
37	456	11554
38	468	11537
39	481	11552
40	493	11538
41	506	11542
42	516	11504
43	528	11480
44	538	11430
45	548	11383
46	560	11361
47	571	11332
48	583	11317
49	594	11300
50	605	11265
51	616	11236
52	627	11210
53	640	11217
54	651	11193
55	664	11198
56	676	11184
57	687	11160
58	697	11125
59	708	11097
60	718	11066
61	730	11044
62	740	11013
63	750	10978
64	762	10968
65	774	10955
66	787	10962
67	799	10956
68	809	10926
69	820	10894
70	830	10862
71	841	10843
72	851	10811
73	862	10799
74	875	10793
75	886	10777
76	896	10752
77	907	10730
78	917	10697
79	928	10682
80	940	10667
81	951	10650
82	963	10649
83	974	10627
84	984	10593
85	993	10559
86	1004	10536
87	1016	10529
88	1026	10512
89	1037	10487
90	1049	10483
91	1060	10471
92	1073	10470
93	1084	10457
94	1098	10468
95	1111	10464
96	1122	10450
97	1134	10438
98	1146	10431
99	1157	10415
100	1168	10400
101	1180	10393
102	1191	10376
103	1202	10362
104	1213	10342
105	1224	10328
106	1239	10344
107	1250	10328
108	1261	10313
109	1272	10299
110	1284	10288
111	1295	10274
112	1307	10263
113	1318	10249
114	1329	10228
115	1340	10216
116	1350	10195
117	1364	10195
118	1375	10184
119	1389	10188
120	1401	10179
121	1413	10175
122	1425	10166
123	1436	10149
124	1446	10128
125	1457	10113
126	1469	10101
127	1480	10084
128	1491	10069
129	1502	10055
130	1515	10051
131	1525	10033
132	1536	10015
133	1548	10005
134	1561	10002
135	1571	9983
136	1581	9962
137	1593	9950
138	1604	9941
139	1615	9922
140	1626	9907
141	1637	9896
142	1649	9884
143	1659	9865
144	1669	9846
145	1679	9826
146	1690	9810
147	1703	9805
148	1716	9802
149	1729	9799
150	1741	9791
151	1755	9793
152	1766	9780
153	1776	9761
154	1787	9747
155	1799	9735
156	1810	9721
157	1821	9707
158	1832	9694
159	1844	9682
160	1855	9669
161	1868	9663
162	1878	9643
163	1888	9625
164	1898	9606
165	1910	9596
166	1921	9586
167	1935	9585
168	1947	9576
169	1959	9565
170	1972	9561
171	1983	9549
172	1995	9536
173	2007	9529
174	2020	9523
175	2031	9510
176	2041	9494
177	2056	9495
178	2067	9484
179	2078	9470
180	2089	9455
181	2101	9444
182	2111	9427
183	2123	9415
184	2135	9406
185	2145	9390
186	2156	9375
187	2168	9364
188	2179	9351
189	2190	9339
190	2202	9327
191	2213	9314
192	2225	9304
193	2237	9295
194	2248	9282
195	2260	9273
196	2272	9264
197	2285	9259
198	2302	9269
199	2321	9286
200	2338	9294
201	2353	9296
202	2368	9300
203	2390	9327
204	2407	9338
205	2424	9345
206	2441	9353
207	2454	9344
208	2473	9362
209	2493	9379
210	2511	9391
211	2526	9390
212	2545	9406
213	2562	9411
214	2583	9433
215	2600	9440
216	2619	9450
217	2635	9454
218	2651	9456
219	2665	9450
220	2680	9449
221	2697	9452
222	2711	9446
223	2725	9441
224	2739	9437
225	2753	9430
226	2767	9424
227	2784	9427
228	2797	9418
229	2810	9409
230	2826	9409
231	2839	9400
232	2854	9397
233	2869	9393
234	2881	9379
235	2893	9366
236	2906	9356
237	2919	9348
238	2933	9339
239	2947	9333
240	2960	9323
241	2975	9318
242	2989	9313
243	3004	9308
244	3018	9302
245	3033	9298
246	3045	9285
247	3057	9271
248	3071	9263
249	3084	9253
250	3099	9249
251	3114	9245
252	3129	9239
253	3143	9233
254	3157	9226
255	3171	9217
256	3187	9216
257	3201	9206
258	3220	9213
259	3234	9205
260	3250	9203
261	3263	9191
262	3275	9179
263	3286	9163
264	3299	9150
265	3311	9138
266	3323	9123
267	3336	9113
268	3349	9102
269	3363	9093
270	3376	9082
271	3389	9072
272	3402	9061
273	3416	9052
274	3429	9041
275	3443	9032
276	3456	9021
277	3468	9008
278	3482	8998
279	3495	8988
280	3508	8977
281	3522	8967
282	3533	8953
283	3547	8944
284	3560	8931
285	3572	8919
286	3585	8906
287	3596	8892
288	3610	8883
289	3624	8873
290	3637	8863
291	3649	8848
292	3661	8834
293	3674	8823
294	3687	8811
295	3730	8873
296	3790	8972
297	3843	9053
298	3870	9073
299	3914	9133
300	3935	9140
301	3959	9151
302	3979	9153
303	4007	9175
304	4024	9171
305	4051	9189
306	4073	9194
307	4090	9190
308	4105	9181
309	4120	9171
310	4137	9165
311	4153	9157
312	4167	9147
313	4180	9134
314	4194	9122
315	4208	9110
316	4222	9097
317	4234	9082
318	4247	9068
319	4261	9054
320	4273	9039
321	4287	9027
322	4300	9014
323	4314	9002
324	4326	8985
325	4338	8969
326	4351	8955
