iter	Logloss
0	0.6882776228
1	0.6826560945
2	0.6774125047
3	0.6723191327
4	0.6684258734
5	0.66375258
6	0.6591551783
7	0.6552346982
8	0.6517624355
9	0.6484923976
10	0.6451162591
11	0.6401835418
12	0.6358161104
13	0.6330152549
14	0.6286290761
15	0.6234242551
16	0.6179856331
17	0.613837017
18	0.6116431092
19	0.6086195515
20	0.6052922118
21	0.6018856942
22	0.5981238127
23	0.5937260543
24	0.5903671905
25	0.5870419355
26	0.58490255
27	0.582994845
28	0.5801999669
29	0.5782104192
30	0.5728100016
31	0.5683443696
32	0.5645637244
33	0.561794635
34	0.5598906081
35	0.5576706478
36	0.5556581824
37	0.551743862
38	0.5496958008
39	0.5473534659
40	0.5451314547
41	0.5427395036
42	0.5414676128
43	0.5387301956
44	0.5367493853
45	0.5338354062
46	0.5314437657
47	0.5296668332
48	0.5255938139
49	0.5232686049
50	0.5219929118
51	0.5198706033
52	0.5182676317
53	0.5158371122
54	0.5134072646
55	0.5121251538
56	0.5098546012
57	0.5067788693
58	0.5045695025
59	0.5030621317
60	0.5007450232
61	0.4974136106
62	0.494394964
63	0.4917653948
64	0.4904905389
65	0.4885547385
66	0.4866939871
67	0.4860166173
68	0.4838795645
69	0.480776193
70	0.478259703
71	0.4769049675
72	0.4746420259
73	0.4717541782
74	0.469704272
75	0.4670143014
76	0.4636544212
77	0.4623805773
78	0.4608723794
79	0.4592253867
80	0.4567986924
81	0.4552306072
82	0.451786868
83	0.450216003
84	0.4482224027
85	0.4468103478
86	0.4455474474
87	0.4436488483
88	0.4419182565
89	0.4401899017
90	0.4384461114
91	0.4371647002
92	0.4350658758
93	0.4333907909
94	0.4316909173
95	0.4298804907
96	0.4287556267
97	0.4275950671
98	0.4251697192
99	0.4221611225
100	0.4204382812
101	0.4186183784
102	0.4167053133
103	0.4157947601
104	0.4141393528
105	0.4134004521
106	0.4125153004
107	0.4093870639
108	0.4070664449
109	0.40532305
110	0.404434892
111	0.4032848455
112	0.4027395998
113	0.3996302417
114	0.3980830386
115	0.3955563593
116	0.3942473689
117	0.3920774478
118	0.3909815378
119	0.389533504
120	0.3878962597
121	0.3866740427
122	0.3847725851
123	0.3834703027
124	0.3823139316
125	0.3809860706
126	0.3798773944
127	0.3775931706
128	0.3758640412
129	0.3747559743
130	0.3734954914
131	0.3724889018
132	0.3715870938
133	0.3702306655
134	0.3689019359
135	0.3674030837
136	0.3657733661
137	0.3645621182
138	0.3631231513
139	0.3621351367
140	0.360075359
141	0.3584107545
142	0.3575989635
143	0.3564651105
144	0.3552028228
145	0.3543662798
146	0.3519056625
147	0.3506039663
148	0.3487797111
149	0.3480210928
150	0.3471020804
151	0.3465917043
152	0.345664652
153	0.3439946461
154	0.3428981708
155	0.3418398935
156	0.341167612
157	0.3394674473
158	0.3384835671
159	0.3376198115
160	0.3359443582
161	0.3341331588
162	0.3332569834
163	0.3323189579
164	0.3315111234
165	0.3298615731
166	0.32941652
167	0.3286853465
168	0.3277538064
169	0.3268981988
170	0.3258167595
171	0.3247139493
172	0.3233465255
173	0.322591196
174	0.3210995737
175	0.3203906879
176	0.3189211907
177	0.3182060038
178	0.3171046193
179	0.3158654567
180	0.3148758284
181	0.3137250358
182	0.3127722465
183	0.3120674541
184	0.3104640768
185	0.3098658083
186	0.3086275477
187	0.3076392352
188	0.306268988
189	0.3054126754
190	0.3043891661
191	0.3030634403
192	0.3019600575
193	0.3012317896
194	0.2998069
195	0.298605342
196	0.298033435
197	0.2969031962
198	0.2963450149
199	0.2954484404
200	0.2944315083
201	0.2931828468
