iter	Passed	Remaining
0	17	17008
1	33	16572
2	46	15390
3	58	14544
4	71	14327
5	82	13726
6	95	13581
7	109	13618
8	122	13455
9	133	13168
10	145	13096
11	159	13102
12	172	13082
13	183	12914
14	195	12835
15	207	12771
16	219	12667
17	229	12520
18	243	12554
19	255	12513
20	265	12364
21	275	12246
22	287	12198
23	297	12081
24	307	11983
25	318	11927
26	328	11846
27	339	11784
28	350	11736
29	362	11721
30	374	11694
31	383	11614
32	395	11594
33	407	11572
34	417	11499
35	428	11483
36	440	11454
37	451	11419
38	462	11386
39	474	11376
40	484	11343
41	497	11340
42	509	11349
43	521	11341
44	532	11293
45	542	11261
46	555	11259
47	565	11211
48	575	11165
49	586	11142
50	596	11095
51	607	11070
52	618	11049
53	628	11001
54	639	10994
55	651	10976
56	660	10935
57	672	10914
58	684	10921
59	697	10929
60	708	10905
61	735	11134
62	747	11111
63	756	11067
64	768	11048
65	779	11024
66	790	11003
67	801	10987
68	812	10968
69	822	10928
70	833	10910
71	844	10886
72	854	10852
73	865	10835
74	876	10811
75	886	10777
76	897	10764
77	908	10742
78	918	10711
79	931	10708
80	944	10717
81	954	10687
82	964	10661
83	976	10653
84	989	10646
85	1002	10658
86	1014	10641
87	1026	10639
88	1037	10622
89	1047	10590
90	1058	10572
91	1069	10551
92	1078	10521
93	1090	10512
94	1101	10495
95	1111	10469
96	1123	10459
97	1134	10440
98	1144	10417
99	1155	10397
100	1164	10363
101	1173	10334
102	1184	10315
103	1193	10285
104	1204	10269
105	1215	10255
106	1226	10237
107	1239	10237
108	1250	10223
109	1260	10198
110	1271	10185
111	1282	10168
112	1292	10146
113	1303	10127
114	1313	10106
115	1322	10078
116	1333	10065
117	1343	10039
118	1354	10026
119	1372	10065
120	1391	10105
121	1404	10107
122	1420	10130
123	1437	10157
124	1455	10186
125	1469	10195
126	1485	10210
127	1500	10224
128	1514	10222
129	1528	10228
130	1543	10240
131	1562	10272
132	1577	10282
133	1589	10274
