date,close,high,low,open,volume
2022-01-03,36421.4765625,36491.67887433692,35526.1900577274,35584.78703524051,219000
2022-01-04,36839.71875,36887.37053795375,36373.97418230583,36550.823682085975,190500
2022-01-05,37695.4609375,37861.9590050948,36755.92496691599,36943.1220130249,237400
2022-01-06,37489.8125,37752.05943962096,37058.01675773592,37242.116171825764,199000
2022-01-07,37739.1640625,38134.40948052595,37427.36689583087,37666.61412230199,183300
2022-01-10,38347.453125,38399.90564089146,37928.91111034862,37930.11031517277,206500
2022-01-11,38441.75390625,38504.15552713439,38031.309442123085,38369.55552385211,159500
2022-01-12,38727.1015625,38850.9985628448,38604.15376989478,38719.15243595666,156100
2022-01-13,38469.50390625,38717.10260261493,38375.704210799726,38717.10260261493,159200
2022-01-14,38369.953125,38447.60456754593,38007.3088962622,38301.9070397266,148600
2022-01-17,38215.703125,38617.0500107632,38137.80559520916,38212.10551067158,140300
2022-01-18,38209.85546875,38855.09794884346,38094.95446410095,38336.9516437718,168800
2022-01-19,38040.91015625,38330.055238666064,37768.81175103346,38145.307382380764,165300
2022-01-20,37850.41015625,38167.5041145941,37591.41317663697,38105.657179594506,149600
2022-01-21,37573.86328125,37740.56055902154,37223.816575850076,37521.91466737574,157800
2022-01-24,36947.12109375,37694.26084216676,36374.928529483084,37601.511920817844,231000
2022-01-25,37706.3125,37788.36232923964,36415.17904330427,36597.62614515124,267500
2022-01-27,37981.66015625,38147.20510735895,37011.819864809884,37057.76854956436,346300
2022-01-28,37688.9609375,38421.253218174104,37581.06375248925,38246.157594464494,294300
2022-01-31,37974.91015625,38216.8057820451,37647.413962944105,38091.35802145327,217800
2022-02-01,38505.05078125,38802.246532769044,37690.16185064272,38460.00052557831,234100
2022-02-02,39330.04296875,39386.143879334384,38752.19812104442,38841.09943172468,252600
2022-02-03,39009.546875,39424.39361874547,38860.6970415019,39255.243239803356,193800
2022-02-04,38788.90234375,39278.146677754965,38562.15496973748,39127.54685936882,163100
2022-02-07,37995.0078125,38837.099592015446,37802.26005174329,38591.602444073695,241900
2022-02-08,38028.0078125,38221.65790847612,37318.61760917495,38175.65844241026,200200
2022-02-09,38609.80078125,38647.69877781298,38191.55564746408,38283.156144207205,124900
