"Stock","BestModel","DirectionAccuracy","CloseMAPE","CloseR2","TestSamples"
"ACC","XGBoost","68.46","1.15","0.0559","501"
"ADANIENT","XGBoost","61.52","1.51","0.0058","525"
"ADANIGREEN","Ensemble","71.59","1.8","0.1392","345"
"ADANIPORTS","Ensemble","69.71","1.42","-0.0009","515"
"ADANIPOWER","XGBoost","72.85","1.67","0.1934","302"
"ALKEM","Ensemble","72.91","1.09","0.0211","443"
"AMBUJACEM","XGBoost","60.93","1.15","0.0044","302"
"APOLLOHOSP","Ensemble","64.85","0.97","0.0396","515"
"ASHOKLEY","Ensemble","64.73","1.38","-0.001","292"
"ASIANPAINT","Ensemble","70.68","0.89","0.0227","515"
"AUROPHARMA","XGBoost","72.26","1.34","0.0283","501"
"AXISBANK","XGBoost","66.67","1.05","0.0001","525"
"BAJAJ-AUTO","XGBoost","57.9","1.07","0.0497","525"
"BAJFINANCE","Ensemble","69.32","1.19","0.0176","515"
"BANDHANBNK","Ensemble","74.62","1.64","0.0386","331"
"BANKBARODA","XGBoost","60.76","1.36","-0.0538","525"
"BHARATFORG","XGBoost","73.84","1.4","0.0425","302"
"BHARTIARTL","Ensemble","66.8","0.98","0.0312","515"
"BIOCON","Ensemble","72.1","1.54","0.1581","491"
"BLUESTARCO","XGBoost","68.2","1.65","0.0374","500"
"BPCL","XGBoost","66.89","1.28","0.0041","302"
"BRITANNIA","Ensemble","65.83","0.91","0.0376","515"
"CIPLA","XGBoost","68.19","0.96","0.2239","525"
"COALINDIA","Ensemble","72.04","1.23","-0.0028","515"
"COFORGE","Ensemble","63.95","1.51","-0.0006","491"
"COLPAL","XGBoost","57.62","1.14","-0.0538","302"
"CROMPTON","Ensemble","70.05","1.25","0.0433","424"
"DABUR","XGBoost","73.25","0.93","-0.0003","501"
"DALBHARAT","XGBoost","69.41","1.07","0.0923","304"
"DIVISLAB","Ensemble","69.71","1.13","0.0577","515"
"DLF","XGBoost","68.21","1.35","0.1535","302"
"DRREDDY","XGBoost","69.33","1.05","-0.1359","525"
"EICHERMOT","Ensemble","66.44","1.1","0.0006","292"
"EMAMILTD","XGBoost","75.45","1.31","0.2321","501"
"FEDERALBNK","XGBoost","59.48","1.21","-0.0991","501"
"GAIL","Ensemble","68.84","1.33","-0.0017","292"
"GODREJCP","XGBoost","62.91","1.1","-0.009","302"
"GODREJPROP","Ensemble","78","1.7","0.1136","491"
"GRASIM","XGBoost","70.48","1.06","0.0207","525"
