Stock,BestModel,DirectionAccuracy,Precision,Recall,F1Score,CloseMAPE,HighMAPE,LowMAPE,CloseR2,TestSamples,XGBoost_Acc,LSTM_Acc,GRU_Acc,Ensemble_Acc
POWERINDIA,XGBoost,95.22,95.65,94.96,95.31,0.84,1.15,1.23,0.7833,272,95.22,51.91,51.91,95.04
GODREJPROP,Ensemble,78,78.99,78.99,78.99,1.7,1.31,1.32,0.1136,491,77.84,47.66,47.66,78
MPHASIS,Ensemble,75.56,76.27,73.77,75,1.37,1.27,1.18,0.1427,491,75.45,49.69,49.69,75.56
LUPIN,Ensemble,75.56,83.26,68.91,75.41,1.25,0.92,0.97,0.0038,491,75.05,54.38,54.38,75.56
EMAMILTD,XGBoost,75.45,75.11,70.94,72.97,1.31,1.08,1.08,0.2321,501,75.45,53.56,53.56,75.15
BANDHANBNK,Ensemble,74.62,75.54,67.74,71.43,1.64,1.5,1.27,0.0386,331,74.19,53.17,53.17,74.62
KOTAKBANK,XGBoost,74.48,72.63,78.71,75.55,0.96,0.78,0.72,0.0038,525,74.48,50.68,50.68,74.37
TECHM,XGBoost,74.48,73.36,76.72,75,1.13,0.95,0.88,0.12,525,74.48,50.68,50.68,74.37
IDFCFIRSTB,XGBoost,74.29,85.29,54.21,66.29,1.22,0.94,1.03,0.0519,459,74.29,53.45,53.45,74.16
NESTLEIND,XGBoost,74.29,75.29,73.31,74.29,0.91,0.6,0.69,0.0362,525,74.29,50.68,50.68,74.17
PRESTIGE,XGBoost,74.05,83.06,60.56,70.05,2.02,1.64,1.78,0.0539,501,74.05,50.1,50.1,73.93
BHARATFORG,XGBoost,73.84,69.88,80,74.6,1.4,1,1.06,0.0425,302,73.84,48.29,48.29,73.63
PHOENIXLTD,Ensemble,73.73,83.33,59.18,69.21,1.93,1.48,1.42,0.0004,491,73.45,50.1,50.1,73.73
IOC,XGBoost,73.65,75.86,74.16,75,1.27,0.86,1.15,0.114,501,73.65,52.95,52.95,73.52
TORNTPHARM,XGBoost,73.45,76.33,71.37,73.77,0.96,0.81,0.79,0.1137,501,73.45,52.34,47.66,73.12
DABUR,XGBoost,73.25,70.49,80.56,75.19,0.93,0.73,0.69,-0.0003,501,73.25,50.1,50.1,72.91
NTPC,XGBoost,73.14,80.66,63.1,70.81,1.13,0.73,0.95,0.1151,525,73.14,48.35,48.35,72.82
ULTRACEMCO,Ensemble,73.01,76.57,68.8,72.48,1.05,0.88,0.76,0,515,72.95,51.65,51.65,73.01
ALKEM,Ensemble,72.91,77.78,65.33,71.01,1.09,0.91,0.93,0.0211,443,72.63,50.79,50.79,72.91
ADANIPOWER,XGBoost,72.85,65.13,77.34,70.71,1.67,1.53,1.3,0.1934,302,72.85,58.22,58.22,72.6
AUROPHARMA,XGBoost,72.26,72.44,67.92,70.11,1.34,0.89,1.07,0.0283,501,72.26,52.14,52.14,72.1
