stock,original_accuracy,trend_neutral_accuracy,trend_correlation,trend_advantage
POWERINDIA,0.9520295202952029,0.4907749077490775,0.8522427141589118,0.46125461254612543
DABUR,0.732,0.45,-0.39546019019982864,0.282
TECHM,0.7442748091603053,0.4675572519083969,0.6537074232361272,0.2767175572519084
EMAMILTD,0.754,0.478,0.09192602715530507,0.276
MPHASIS,0.754,0.484,0.38406432756875303,0.27
IOC,0.738,0.474,-0.05261586166046996,0.264
PRESTIGE,0.742,0.482,0.3360725362316323,0.26
ULTRACEMCO,0.7309160305343512,0.4713740458015267,0.8546278049414693,0.25954198473282447
GODREJPROP,0.778,0.52,-0.371529745241984,0.258
KOTAKBANK,0.7442748091603053,0.4904580152671756,0.7983990147239257,0.2538167938931297
LUPIN,0.752,0.5,0.6549796173815439,0.252
NESTLEIND,0.7423664122137404,0.49236641221374045,-0.2491830666351358,0.25
NTPC,0.7309160305343512,0.48091603053435117,0.29443574142195067,0.25
ADANIPOWER,0.7275747508305648,0.49169435215946844,0.5513901129999945,0.23588039867109634
BANDHANBNK,0.7441176470588236,0.5205882352941177,-0.47084829552438723,0.22352941176470587
PHOENIXLTD,0.734,0.512,0.405347690137615,0.22199999999999998
TORNTPHARM,0.736,0.524,0.8771614117560904,0.21199999999999997
ALKEM,0.7278761061946902,0.5199115044247787,0.07262799784117005,0.2079646017699115
IDFCFIRSTB,0.74235807860262,0.5414847161572053,-0.3296099478846081,0.20087336244541476
BHARATFORG,0.7375415282392026,0.5880398671096345,-0.33399081963956856,0.1495016611295681
