sector,split,num_stocks,num_evaluations,avg_win_ratio,std_win_ratio,best_model,best_model_win_ratio,avg_error_pct
Banking,testing,13,52,51.82392116,9.248122105,lstm,53.42574458,0.956606994
Telecom,testing,3,12,51.31452926,4.335032133,lstm,52.47248605,1.614781362
Metals,testing,10,40,50.84870089,5.528635476,lstm,52.8358209,1.169528543
Insurance,testing,5,20,50.30790927,3.976568503,ensemble,53.13432836,0.903758862
Realty,testing,5,20,50.29257647,4.262129079,gru,53.43716202,1.177939159
Auto,testing,10,40,49.44784083,6.126801345,ensemble,51.47090634,1.10830242
FMCG,testing,10,40,49.19040093,5.320725004,lstm,50.99069868,0.848318045
IT,testing,10,40,49.12533788,5.452008812,gru,50.74626866,1.107469901
Pharma,testing,10,40,48.59971795,6.180540394,ensemble,50.29850746,0.89784872
Energy,testing,10,40,48.36063348,3.784518745,gru,48.98118105,1.088876175
Infra,testing,10,40,46.96621654,6.203179698,gru,50.10068236,0.837028061
Consumer,testing,10,40,46.01423129,6.462403443,xgboost,49.62463994,1.259318454
Banking,validation,13,52,52.64320182,8.029347502,xgboost,55.15430359,1.265204697
Insurance,validation,5,20,52.38694193,3.808226039,ensemble,54.37542896,1.182623255
IT,validation,10,40,51.14528231,3.324848854,lstm,52.35358042,1.378277631
Pharma,validation,10,40,51.0733751,4.001055264,lstm,51.81537406,1.254777098
Telecom,validation,3,12,50.9099202,3.195460791,ensemble,53.20292839,1.677859793
Metals,validation,10,40,50.67009524,2.344460912,ensemble,51.33436285,1.646421777
FMCG,validation,10,40,50.28192501,3.656580198,lstm,51.16735301,1.13429371
Auto,validation,10,40,50.17394998,3.504653749,gru,51.55971174,1.430431569
Realty,validation,5,20,50.04761496,3.172872707,gru,51.70212766,1.99686504
Energy,validation,10,40,49.84935356,3.147116654,ensemble,51.66380691,1.574170653
Infra,validation,10,40,49.3100992,3.899734071,gru,50.09780371,1.313238999
Consumer,validation,10,40,48.90095858,3.602982538,gru,51.17250057,1.541115421
