sector,model,split,num_stocks,avg_win_ratio,avg_error_pct,best_stock,best_win_ratio
Banking,XGBOOST,testing,5,50.5511811,1.052614726,BAJAJFINSV,54.33070866
Banking,XGBOOST,validation,5,50.89430894,1.3562782,PNB,56.09756098
Banking,LSTM,testing,5,51.34328358,1.039787478,BANKBARODA,61.19402985
Banking,LSTM,validation,5,50.53763441,1.429213415,BAJAJFINSV,53.76344086
Banking,GRU,testing,5,46.86567164,1.028973622,INDUSINDBK,52.23880597
Banking,GRU,validation,5,49.78494624,1.384425743,BAJAJFINSV,52.15053763
Banking,ENSEMBLE,testing,5,51.94029851,1.030042753,PNB,61.19402985
Banking,ENSEMBLE,validation,5,50.86021505,1.395046897,AXISBANK,56.98924731
Auto,XGBOOST,testing,4,48.81889764,1.14408077,HEROMOTOCO,55.90551181
Auto,XGBOOST,validation,4,50.81300813,1.33566706,HEROMOTOCO,53.25203252
Auto,LSTM,testing,4,45.52238806,1.22766996,M&M,47.76119403
Auto,LSTM,validation,4,49.05913978,1.344574715,HEROMOTOCO,54.30107527
Auto,GRU,testing,4,43.28358209,1.201541374,TATAMOTORS,56.71641791
Auto,GRU,validation,4,54.03225806,1.321572277,M&M,54.83870968
Auto,ENSEMBLE,testing,4,47.3880597,1.168947556,TATAMOTORS,52.23880597
Auto,ENSEMBLE,validation,4,49.8655914,1.334509113,HEROMOTOCO,52.15053763
Pharma,XGBOOST,testing,5,51.96850394,0.870918263,DRREDDY,60.62992126
Pharma,XGBOOST,validation,5,51.78861789,1.067544824,SUNPHARMA,55.69105691
Pharma,LSTM,testing,5,51.64179104,0.810590922,SUNPHARMA,62.68656716
Pharma,LSTM,validation,5,51.29032258,1.09455017,DRREDDY,56.98924731
Pharma,GRU,testing,5,43.58208955,0.814370107,DIVISLAB,53.73134328
Pharma,GRU,validation,5,51.29032258,1.095894354,APOLLOHOSP,53.76344086
Pharma,ENSEMBLE,testing,5,49.85074627,0.813831012,DIVISLAB,53.73134328
Pharma,ENSEMBLE,validation,5,50.64516129,1.099342964,APOLLOHOSP,54.83870968
Energy,XGBOOST,testing,4,48.81889764,1.062356102,ADANIGREEN,51.18110236
Energy,XGBOOST,validation,4,49.08536585,1.642818052,ONGC,53.65853659
Energy,LSTM,testing,4,47.76119403,0.98385973,NTPC,53.73134328
Energy,LSTM,validation,4,49.32795699,1.642348268,ADANIGREEN,52.15053763
Energy,GRU,testing,4,47.76119403,0.981850237,POWERGRID,52.23880597
Energy,GRU,validation,4,49.46236559,1.632224988,NTPC,54.30107527
Energy,ENSEMBLE,testing,4,46.26865672,0.959487029,POWERGRID,58.20895522
Energy,ENSEMBLE,validation,4,51.34408602,1.630226081,POWERGRID,53.22580645
Metals,XGBOOST,testing,4,53.74015748,0.965626424,HINDALCO,57.48031496
Metals,XGBOOST,validation,4,53.25203252,1.429975378,TATASTEEL,55.69105691
Metals,LSTM,testing,4,52.6119403,0.945862894,HINDALCO,61.19402985
Metals,LSTM,validation,4,49.59677419,1.374212356,VEDL,52.68817204
Metals,GRU,testing,4,46.26865672,0.948412524,VEDL,53.73134328
Metals,GRU,validation,4,50.40322581,1.36979603,VEDL,52.15053763
Metals,ENSEMBLE,testing,4,51.11940299,0.949386492,HINDALCO,56.71641791
Metals,ENSEMBLE,validation,4,52.28494624,1.368991004,COALINDIA,55.37634409
FMCG,XGBOOST,testing,4,48.62204724,0.805630536,HINDUNILVR,53.54330709
FMCG,XGBOOST,validation,4,49.3902439,0.957039686,ITC,53.65853659
FMCG,LSTM,testing,4,51.49253731,0.751659278,HINDUNILVR,56.71641791
FMCG,LSTM,validation,4,50.2688172,0.959413021,ITC,54.30107527
FMCG,GRU,testing,4,48.13432836,0.756890247,HINDUNILVR,59.70149254
FMCG,GRU,validation,4,50.40322581,0.962737499,HINDUNILVR,55.91397849
FMCG,ENSEMBLE,testing,4,52.23880597,0.749805388,HINDUNILVR,58.20895522
FMCG,ENSEMBLE,validation,4,52.01612903,0.948662118,ITC,62.3655914
Infra,XGBOOST,testing,5,49.4488189,0.894299606,LT,54.33070866
Infra,XGBOOST,validation,5,46.82926829,1.387988828,GRASIM,50
Infra,LSTM,testing,5,45.37313433,0.852585982,ADANIPORTS,53.73134328
Infra,LSTM,validation,5,46.66666667,1.380453081,GRASIM,53.22580645
Infra,GRU,testing,5,50.44776119,0.85976047,ULTRACEMCO,59.70149254
Infra,GRU,validation,5,48.38709677,1.384676202,ULTRACEMCO,53.22580645
Infra,ENSEMBLE,testing,5,46.56716418,0.838990926,LT,53.73134328
Infra,ENSEMBLE,validation,5,44.30107527,1.377587047,ULTRACEMCO,51.07526882
Telecom,XGBOOST,testing,1,52.75590551,0.8337426,BHARTIARTL,52.75590551
Telecom,XGBOOST,validation,1,54.47154472,1.085684149,BHARTIARTL,54.47154472
Telecom,LSTM,testing,1,53.73134328,0.820313013,BHARTIARTL,53.73134328
Telecom,LSTM,validation,1,50.53763441,1.05443541,BHARTIARTL,50.53763441
Telecom,GRU,testing,1,43.28358209,0.839493597,BHARTIARTL,43.28358209
Telecom,GRU,validation,1,53.22580645,1.054278468,BHARTIARTL,53.22580645
Telecom,ENSEMBLE,testing,1,55.2238806,0.823865338,BHARTIARTL,55.2238806
Telecom,ENSEMBLE,validation,1,50,1.063287615,BHARTIARTL,50
Consumer,XGBOOST,testing,2,53.54330709,0.830651631,ASIANPAINT,54.33070866
Consumer,XGBOOST,validation,2,45.12195122,1.051432296,ASIANPAINT,47.56097561
Consumer,LSTM,testing,2,44.7761194,0.812097515,ASIANPAINT,44.7761194
Consumer,LSTM,validation,2,50.80645161,1.023979208,ASIANPAINT,54.30107527
Consumer,GRU,testing,2,44.7761194,0.817637641,ASIANPAINT,44.7761194
Consumer,GRU,validation,2,51.07526882,1.019850089,ASIANPAINT,53.22580645
Consumer,ENSEMBLE,testing,2,47.76119403,0.810409879,ASIANPAINT,47.76119403
Consumer,ENSEMBLE,validation,2,50,1.025862964,ASIANPAINT,51.07526882
Insurance,XGBOOST,testing,2,47.63779528,0.819271629,SBILIFE,48.81889764
Insurance,XGBOOST,validation,2,50.6097561,1.18303825,HDFCLIFE,50.81300813
Insurance,LSTM,testing,2,49.25373134,0.829240876,SBILIFE,50.74626866
Insurance,LSTM,validation,2,52.41935484,1.115637464,HDFCLIFE,52.68817204
Insurance,GRU,testing,2,47.76119403,0.834768111,HDFCLIFE,49.25373134
Insurance,GRU,validation,2,51.61290323,1.127869994,SBILIFE,55.37634409
Insurance,ENSEMBLE,testing,2,51.49253731,0.834030055,SBILIFE,53.73134328
Insurance,ENSEMBLE,validation,2,49.46236559,1.12986417,HDFCLIFE,50
