Finding,Result,Significance
Average Win Ratio,68.40% (significantly above random 50%),18.4 pp above random baseline
Stocks with >70% Accuracy,43 stocks (40.6% of portfolio),Suitable for algorithmic trading
Average Error (MAPE),1.27% (very low prediction error),Competitive with industry standards
Best Model (Most Selected),"XGBoost (54 stocks, 50.9%)",Simple models > Complex models
Deep Learning Performance,Poor - LSTM/GRU overfit (0 best selections),Complexity leads to overfitting
Simple Models Performance,Excellent - XGBoost dominates,Interpretable and efficient
Ensemble Effectiveness,Strong - 52 stocks (49.1%),Model diversity adds value
Data Split Strategy,60/20/20 Train/Val/Test (chronological),Prevents data leakage
Average Test Duration,457 days (~1 years),Sufficient for pattern learning
Features vs Performance,244 features optimal (from 383 total),Feature engineering is critical
