Stock,BestModel,DirectionAccuracy,Precision,Recall,F1Score,CloseMAPE,CloseR2,TestSamples
POWERINDIA,XGBoost,95.22,95.65,94.96,95.31,0.84,0.7833,272
GODREJPROP,Ensemble,78,78.99,78.99,78.99,1.7,0.1136,491
MPHASIS,Ensemble,75.56,76.27,73.77,75,1.37,0.1427,491
LUPIN,Ensemble,75.56,83.26,68.91,75.41,1.25,0.0038,491
EMAMILTD,XGBoost,75.45,75.11,70.94,72.97,1.31,0.2321,501
BANDHANBNK,Ensemble,74.62,75.54,67.74,71.43,1.64,0.0386,331
KOTAKBANK,XGBoost,74.48,72.63,78.71,75.55,0.96,0.0038,525
TECHM,XGBoost,74.48,73.36,76.72,75,1.13,0.12,525
IDFCFIRSTB,XGBoost,74.29,85.29,54.21,66.29,1.22,0.0519,459
NESTLEIND,XGBoost,74.29,75.29,73.31,74.29,0.91,0.0362,525
PRESTIGE,XGBoost,74.05,83.06,60.56,70.05,2.02,0.0539,501
BHARATFORG,XGBoost,73.84,69.88,80,74.6,1.4,0.0425,302
PHOENIXLTD,Ensemble,73.73,83.33,59.18,69.21,1.93,0.0004,491
IOC,XGBoost,73.65,75.86,74.16,75,1.27,0.114,501
TORNTPHARM,XGBoost,73.45,76.33,71.37,73.77,0.96,0.1137,501
DABUR,XGBoost,73.25,70.49,80.56,75.19,0.93,-0.0003,501
NTPC,XGBoost,73.14,80.66,63.1,70.81,1.13,0.1151,525
ULTRACEMCO,Ensemble,73.01,76.57,68.8,72.48,1.05,0,515
ALKEM,Ensemble,72.91,77.78,65.33,71.01,1.09,0.0211,443
ADANIPOWER,XGBoost,72.85,65.13,77.34,70.71,1.67,0.1934,302
