Stock,BestModel,DirectionAccuracy,Precision,Recall,F1Score,CloseMAPE,CloseR2,TestSamples
INFY,Ensemble,52.62,51.27,94.53,66.48,1.03,0.0865,515
MOTHERSON,Ensemble,56.62,79.27,24.9,37.9,1.63,-0.0005,491
COLPAL,XGBoost,57.62,55.3,51.41,53.28,1.14,-0.0538,302
BAJAJ-AUTO,XGBoost,57.9,84.38,28.22,42.3,1.07,0.0497,525
HEROMOTOCO,Ensemble,58.25,79.8,28.83,42.36,1.22,-0.0464,515
TCS,XGBoost,58.86,53.4,84.3,65.38,0.94,0.0197,525
MARICO,Ensemble,59.25,64.71,38.19,48.03,0.96,0.0342,292
FEDERALBNK,XGBoost,59.48,78.35,29.46,42.82,1.21,-0.0991,501
NMDC,Ensemble,60.62,81.67,32.03,46.01,1.46,0.0604,292
BANKBARODA,XGBoost,60.76,91.67,24.81,39.05,1.36,-0.0538,525
AMBUJACEM,XGBoost,60.93,58.38,68.71,63.13,1.15,0.0044,302
ADANIENT,XGBoost,61.52,57.72,69.35,63,1.51,0.0058,525
GODREJCP,XGBoost,62.91,54.86,74.42,63.16,1.1,-0.009,302
TATAPOWER,XGBoost,63.25,59.91,83.01,69.59,1.18,-0.0077,302
ICICIGI,Ensemble,63.48,70.75,43.1,53.57,1.12,-0.0006,356
ICICIBANK,XGBoost,63.62,71.07,51.09,59.45,0.83,0.0389,525
HDFCLIFE,XGBoost,63.8,71.32,47.42,56.97,1.05,-0.008,384
COFORGE,Ensemble,63.95,61.13,87.69,72.04,1.51,-0.0006,491
TITAN,Ensemble,64.08,78.63,39.62,52.69,1.02,-0.0015,515
SBIN,XGBoost,64.19,76.88,47.33,58.59,1.06,-0.0083,525
